parameter,reported value,mean,variance,median,interquartile range
g_Kur,0.0975,0.0579,2.06e-05,0.0572,0.00656
k_ass1,22.5,16.5,47.1,16.2,9.72
k_ass2,7.7,8.0,2.26,8.2,2.22
k_atau1,0.493,0.511,0.0805,0.548,0.481
k_atau2,6.29,4.97,7.87,5.28,4.99
k_atau3,2.06,4.48,8.42,4.03,5.4
k_iss1,45.2,48.7,1.37,48.6,1.8
k_iss2,5.7,7.32,1.19,7.36,1.54
k_itau1,1.2,1.26,0.0298,1.29,0.222
k_itau2,1.7,2.22,2.2,1.93,2.3
original loss
1.46
minimum posterior loss,maximum posterior loss
0.307,0.386
