parameter,reported value,mean,variance,median,interquartile range
g_Kr,0.73,0.371,0.00661,0.4,0.103
k_xss1,15.0,14.2,3.86,13.6,2.55
k_xss2,6.0,7.81,0.191,7.73,0.404
k_xtau1,2.5,5.45,2.86,4.7,2.88
k_xtau2,31.2,64.3,272.0,73.7,33.1
k_xtau3,217.0,531.0,1200.0,519.0,46.9
k_xtau4,20.1,73.9,174.0,78.6,18.3
k_xtau5,22.2,28.3,118.0,30.3,8.39
k_r1,55.0,29.8,51.7,33.5,11.8
k_r2,24.0,21.4,1.19,21.3,0.0707
original loss
0.202
minimum posterior loss,maximum posterior loss
0.13,0.168
