"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.82935831364821805e-01, 0.00000000000000000e+00,-1.00102238796468013e-01,-7.28718314015392754e-09,-5.39462770301050165e-01,-1.80391901559055601e+00, 1.78919165205094255e+00, 7.50751575419020094e-03, 5.68875574010853369e-03,-8.99522454297196572e-01,-2.06098267290376301e-02, 7.94740176632222073e-01,-2.28275369289339808e-02, 7.58261380705881893e-01, 5.58892951598527563e-03,-7.67917892341872630e+01
 1.82921805590825881e-01, 5.00000000029103830e-02,-1.00102090251919185e-01,-7.28337420595728605e-09,-5.39533179508128846e-01,-1.80383095206177435e+00, 1.78953428126740466e+00, 7.50605580847763399e-03, 5.68605930133375334e-03,-8.99803526978545376e-01,-2.06096327845968416e-02, 7.94755651089612880e-01,-2.28221063357518343e-02, 7.58158837244016559e-01, 5.59070720038978668e-03,-7.67905158684483666e+01
 1.82907784896237935e-01, 1.00000000005820766e-01,-1.00101941447886478e-01,-7.27957793306712314e-09,-5.39603600561652463e-01,-1.80374286820147534e+00, 1.78987690907594899e+00, 7.50459600530219498e-03, 5.68336391089502378e-03,-9.00084658194561960e-01,-2.06094388060408043e-02, 7.94771128119654890e-01,-2.28166769187646799e-02, 7.58056335065881437e-01, 5.59248537041687113e-03,-7.67892422787216731e+01
 1.82893769288627578e-01, 1.50000000008731149e-01,-1.00101792383844063e-01,-7.27579465180367559e-09,-5.39674033498255379e-01,-1.80365476397648150e+00, 1.79021953556051416e+00, 7.50313634534737102e-03, 5.68066956916161731e-03,-9.00365848028792493e-01,-2.06092447933053022e-02, 7.94786607727377414e-01,-2.28112486793684878e-02, 7.57953874222957569e-01, 5.59426402677120314e-03,-7.67879684645855463e+01
 1.82879758775709667e-01, 2.00000000011641532e-01,-1.00101643059260600e-01,-7.27202469685688338e-09,-5.39744478354624135e-01,-1.80356663935357897e+00, 1.79056216080506125e+00, 7.50167682929609673e-03, 5.67797627650172120e-03,-9.00647096564895833e-01,-2.06090507463260568e-02, 7.94802089917814314e-01,-2.28058216189970069e-02, 7.57851454767778487e-01, 5.59604317015831645e-03,-7.67866944256179522e+01
 1.82865753365348466e-01, 2.50000000000000000e-01,-1.00101493473599271e-01,-7.26826840728722015e-09,-5.39814935167478804e-01,-1.80347849429955032e+00, 1.79090478489346960e+00, 7.50021745783115840e-03, 5.67528403328318009e-03,-9.00928403886562257e-01,-2.06088566650387793e-02, 7.94817574696000562e-01,-2.28003957391235829e-02, 7.57749076753960527e-01, 5.59782280128406397e-03,-7.67854201613968570e+01
 1.82851753065541189e-01, 3.00000000002910383e-01,-1.00101343626317590e-01,-7.26452612652105687e-09,-5.39885403973652811e-01,-1.80339032878106975e+00, 1.79124740790994852e+00, 7.49875823163357377e-03, 5.67259283987045330e-03,-9.01209770077839312e-01,-2.06086625493789657e-02, 7.94833062066987672e-01,-2.27949710412546531e-02, 7.57646740236083804e-01, 5.59960292085675670e-03,-7.67841456714986776e+01
 1.82837757884442564e-01, 3.50000000005820766e-01,-1.00101193516867720e-01,-7.26079820235697323e-09,-5.39955884809971698e-01,-1.80330214276485434e+00, 1.79159002993841909e+00, 7.49729915138501370e-03, 5.66990269662920234e-03,-9.01491195222642983e-01,-2.06084683992822128e-02, 7.94848552035818834e-01,-2.27895475269393119e-02, 7.57544445269869415e-01, 5.60138352958395539e-03,-7.67828709555005986e+01
 1.82823767830348483e-01, 4.00000000008731149e-01,-1.00101043144696145e-01,-7.25708498696110306e-09,-5.40026377713333949e-01,-1.80321393621756432e+00, 1.79193265106293986e+00, 7.49584021776626957e-03, 5.66721360392328545e-03,-9.01772679405082100e-01,-2.06082742146839956e-02, 7.94864044607546893e-01,-2.27841251977629437e-02, 7.57442191912061413e-01, 5.60316462817467102e-03,-7.67815960129789801e+01
 1.82809782911700108e-01, 4.50000000011641532e-01,-1.00100892509243922e-01,-7.25338683686798142e-09,-5.40096882720691340e-01,-1.80312570910582792e+00, 1.79227527136757625e+00, 7.49438143145749868e-03, 5.66452556211541076e-03,-9.02054222709380293e-01,-2.06080799955197375e-02, 7.94879539787228695e-01,-2.27787040553488751e-02, 7.57339980220456122e-01, 5.60494621733871254e-03,-7.67803208435098412e+01
 1.82795803137087903e-01, 5.00000000000000000e-01,-1.00100741609946572e-01,-7.24970411298134277e-09,-5.40167399869027620e-01,-1.80303746139626653e+00, 1.79261789093632506e+00, 7.49292279313878203e-03, 5.66183857156802445e-03,-9.02335825219789833e-01,-2.06078857417248580e-02, 7.94895037579920860e-01,-2.27732841013598628e-02, 7.57237810253930665e-01, 5.60672829778626706e-03,-7.67790454466691443e+01
 1.82781828515235417e-01, 5.50000000002910383e-01,-1.00100590446233970e-01,-7.24603718056957980e-09,-5.40237929195441113e-01,-1.80294919305539203e+00, 1.79296050985350375e+00, 7.49146430348838696e-03, 5.65915263264014055e-03,-9.02617487020922815e-01,-2.06076914532345376e-02, 7.94910537990699217e-01,-2.27678653374917966e-02, 7.57135682072325844e-01, 5.60851087022994337e-03,-7.67777698220313454e+01
