"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.82548662163285441e-01, 0.00000000000000000e+00,-1.00451424559691860e-01,-8.80731076727000886e-09,-4.20148309848749568e-01,-1.84895570092170791e+00, 1.60547569425781789e+00, 7.97960638402600390e-03, 5.84230961869058874e-03,-7.71430123964003234e-01,-2.07091907937332134e-02, 7.86792824270430291e-01,-2.35975894734160134e-02, 7.55432284204188176e-01, 1.72846072252984110e-03,-7.74441760473750094e+01
 1.82533177247575590e-01, 5.00000000029103830e-02,-1.00451417825028491e-01,-8.80201428363463650e-09,-4.20203305323621601e-01,-1.84888224502232568e+00, 1.60579991804407163e+00, 7.97823773382933671e-03, 5.83960774921633147e-03,-7.71676272585488876e-01,-2.07090229373894236e-02, 7.86806281649623074e-01,-2.35919687141149179e-02, 7.55319199830817745e-01, 1.72902927096487769e-03,-7.74430739661997620e+01
 1.82517697559878039e-01, 1.00000000005820766e-01,-1.00451410928424634e-01,-8.79672162113011688e-09,-4.20258297740073616e-01,-1.84880878330042164e+00, 1.60612410624608914e+00, 7.97686891008712526e-03, 5.83690662899880724e-03,-7.71922441071197230e-01,-2.07088550749765024e-02, 7.86819739409538310e-01,-2.35863494283983337e-02, 7.55206158714884501e-01, 1.72959790240055861e-03,-7.74419718451768659e+01
 1.82502223097807559e-01, 1.50000000008731149e-01,-1.00451403869837891e-01,-8.79143277683665628e-09,-4.20313287118271539e-01,-1.84873531574267891e+00, 1.60644825891118659e+00, 7.97549991354921592e-03, 5.83420625866059358e-03,-7.72168629445771248e-01,-2.07086872064681966e-02, 7.86833197552258556e-01,-2.35807316153340968e-02, 7.55093160834704236e-01, 1.73016661694535439e-03,-7.74408696841340003e+01
 1.82486753858981693e-01, 2.00000000011641532e-01,-1.00451396649225880e-01,-8.78614774783642309e-09,-4.20368273478362864e-01,-1.84866184233578479e+00, 1.60677237608664503e+00, 7.97413074496456341e-03, 5.83150663882281775e-03,-7.72414837733863324e-01,-2.07085193318382633e-02, 7.86846656079866147e-01,-2.35751152739908203e-02, 7.54980206168616164e-01, 1.73073541470774098e-03,-7.74397674828988727e+01
 1.82471289841025258e-01, 2.50000000000000000e-01,-1.00451389266546093e-01,-8.78086653121507801e-09,-4.20423256840461168e-01,-1.84858836306644569e+00, 1.60709645781962296e+00, 7.97276140508167835e-03, 5.82880777010600076e-03,-7.72661065960063675e-01,-2.07083514510605186e-02, 7.86860114994438642e-01,-2.35695004034396395e-02, 7.54867294695015900e-01, 1.73130429579604729e-03,-7.74386652412995034e+01
 1.82455831041552330e-01, 3.00000000002910383e-01,-1.00451381721756008e-01,-8.77558912405563811e-09,-4.20478237224709506e-01,-1.84851487792130609e+00, 1.60742050415752247e+00, 7.97139189464695155e-03, 5.82610965312684286e-03,-7.72907314149187674e-01,-2.07081835641086190e-02, 7.86873574298065925e-01,-2.35638870027475925e-02, 7.54754426392223343e-01, 1.73187326031910079e-03,-7.74375629591629888e+01
 1.82440377458193220e-01, 3.50000000005820766e-01,-1.00451374014813036e-01,-8.77031552344768493e-09,-4.20533214651185094e-01,-1.84844138688707549e+00, 1.60774451514743189e+00, 7.97002221440711728e-03, 5.82341228850299670e-03,-7.73153582325844524e-01,-2.07080156709563805e-02, 7.86887033992825002e-01,-2.35582750709874451e-02, 7.54641601238680071e-01, 1.73244230838524556e-03,-7.74364606363173920e+01
 1.82424929088576493e-01, 4.00000000008731149e-01,-1.00451366145674501e-01,-8.76504572648123348e-09,-4.20588189139962321e-01,-1.84836788995044210e+00, 1.60806849083649372e+00, 7.96865236510758621e-03, 5.82071567684987624e-03,-7.73399870514725141e-01,-2.07078477715775706e-02, 7.86900494080797430e-01,-2.35526646072312315e-02, 7.54528819212818336e-01, 1.73301144010299269e-03,-7.74353582725904914e+01
 1.82409485930333570e-01, 4.50000000011641532e-01,-1.00451358114297715e-01,-8.75977973024824926e-09,-4.20643160711097697e-01,-1.84829438709809524e+00, 1.60839243127182785e+00, 7.96728234749295543e-03, 5.81801981878151981e-03,-7.73646178740530099e-01,-2.07076798659459604e-02, 7.86913954564063878e-01,-2.35470556105517419e-02, 7.54416080293094149e-01, 1.73358065558087623e-03,-7.74342558678100517e+01
