"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.26594728047514177e-01, 0.00000000000000000e+00,-1.02887029594504603e-01,-4.56037642176059492e-11,-3.86952749911099014e-01,-1.95059145082097118e+00, 1.59325154401178382e+00, 3.37638870084745106e-04, 2.44533318782421424e-04,-3.03236177635379245e-01,-2.07155016727687685e-02, 7.86286791761274362e-01,-8.65090347799378316e-03, 3.86926438955159102e-01, 3.11317228384708732e-03,-7.74856108887840378e+01
 1.26591354919896093e-01, 5.00000000029103830e-02,-1.02887131526231607e-01,-4.55692246025850967e-11,-3.86958383692962149e-01,-1.95058523394431416e+00, 1.59329404607812930e+00, 3.37528209910588394e-04, 2.44501474223964834e-04,-3.03262323225995056e-01,-2.07154797902149232e-02, 7.86288546653229004e-01,-8.64983918266770332e-03, 3.86907061947124375e-01, 3.11330228624262734e-03,-7.74854672162238387e+01
 1.26587982468903432e-01, 1.00000000005820766e-01,-1.02887233434708819e-01,-4.55347158032244907e-11,-3.86964016993316506e-01,-1.95057901776260567e+00, 1.59333654312315320e+00, 3.37417603347315263e-04, 2.44469658628152051e-04,-3.03288467610506374e-01,-2.07154579098319074e-02, 7.86290301369300559e-01,-8.64877508828303630e-03, 3.86887689217762121e-01, 3.11343227750202154e-03,-7.74853235579164448e+01
 1.26584610694387423e-01, 1.50000000008731149e-01,-1.02887335319940168e-01,-4.55002378008142296e-11,-3.86969649812229533e-01,-1.95057280227570562e+00, 1.59337903514779633e+00, 3.37307050372182839e-04, 2.44437871977215332e-04,-3.03314610788836592e-01,-2.07154360316193498e-02, 7.86292055909518228e-01,-8.64771119479558308e-03, 3.86868320765990814e-01, 3.11356225762691530e-03,-7.74851799138594970e+01
 1.26581239596199463e-01, 2.00000000011641532e-01,-1.02887437181929622e-01,-4.54657905766608589e-11,-3.86975282149768229e-01,-1.95056658748347300e+00, 1.59342152215300903e+00, 3.37196550962466461e-04, 2.44406114253411817e-04,-3.03340752760908661e-01,-2.07154141555768896e-02, 7.86293810273912208e-01,-8.64664750216113248e-03, 3.86848956590729820e-01, 3.11369222661897396e-03,-7.74850362840506079e+01
 1.26577869174191920e-01, 2.50000000000000000e-01,-1.02887539020681124e-01,-4.54313741120973420e-11,-3.86980914005998156e-01,-1.95056037338577215e+00, 1.59346400413971945e+00, 3.37086105095487818e-04, 2.44374385439029274e-04,-3.03366893526638315e-01,-2.07153922817041834e-02, 7.86295564462510255e-01,-8.64558401033590010e-03, 3.86829596690904387e-01, 3.11382218447980256e-03,-7.74848926684874613e+01
 1.26574499428214304e-01, 3.00000000002910383e-01,-1.02887640836198668e-01,-4.53969883884430197e-11,-3.86986545380989422e-01,-1.95055415998245896e+00, 1.59350648110889792e+00, 3.36975712748490103e-04, 2.44342685516351894e-04,-3.03393033085963493e-01,-2.07153704100008496e-02, 7.86297318475343787e-01,-8.64452071927509190e-03, 3.86810241065423221e-01, 3.11395213121113323e-03,-7.74847490671675985e+01
 1.26571130358119094e-01, 3.50000000005820766e-01,-1.02887742628486226e-01,-4.53626333870636970e-11,-3.86992176274807420e-01,-1.95054794727339709e+00, 1.59354895306147326e+00, 3.36865373898828180e-04, 2.44311014467713688e-04,-3.03419171438799429e-01,-2.07153485404665376e-02, 7.86299072312441116e-01,-8.64345762893491132e-03, 3.86790889713212349e-01, 3.11408206681457189e-03,-7.74846054800887032e+01
 1.26567761963757852e-01, 4.00000000008731149e-01,-1.02887844397547695e-01,-4.53283090893315704e-11,-3.86997806687519208e-01,-1.95054173525844754e+00, 1.59359141999838583e+00, 3.36755088523841195e-04, 2.44279372275462651e-04,-3.03445308585068740e-01,-2.07153266731008832e-02, 7.86300825973831996e-01,-8.64239473927126689e-03, 3.86771542633192689e-01, 3.11421199129176263e-03,-7.74844619072484164e+01
 1.26564394244982198e-01, 4.50000000011641532e-01,-1.02887946143387060e-01,-4.52940154766352697e-11,-3.87003436619191399e-01,-1.95053552393747087e+00, 1.59363388192058109e+00, 3.36644856600886127e-04, 2.44247758921970631e-04,-3.03471444524693879e-01,-2.07153048079035326e-02, 7.86302579459545625e-01,-8.64133205024004980e-03, 3.86752199824285325e-01, 3.11434190464435993e-03,-7.74843183486443650e+01
 1.26561027201644777e-01, 5.00000000000000000e-01,-1.02888047866008275e-01,-4.52597525303897787e-11,-3.87009066069889274e-01,-1.95052931331033053e+00, 1.59367633882898274e+00, 3.36534678107366361e-04, 2.44216174389640377e-04,-3.03497579257589634e-01,-2.07152829448741284e-02, 7.86304332769610870e-01,-8.64026956179749991e-03, 3.86732861285417395e-01, 3.11447180687395887e-03,-7.74841748042742466e+01
 1.26557660833595348e-01, 5.50000000002910383e-01,-1.02888149565415310e-01,-4.52255202319966198e-11,-3.87014695039682666e-01,-1.95052310337688439e+00, 1.59371879072456091e+00, 3.36424553020607813e-04, 2.44184618660871601e-04,-3.03523712783693278e-01,-2.07152610840122993e-02, 7.86306085904057595e-01,-8.63920727389895504e-03, 3.86713527015500047e-01, 3.11460169798229072e-03,-7.74840312741356030e+01
 1.26554295140686668e-01, 6.00000000005820766e-01,-1.02888251241612133e-01,-4.51913185629036247e-11,-3.87020323528636467e-01,-1.95051689413699525e+00, 1.59376123760823951e+00, 3.36314481318046880e-04, 2.44153091718113456e-04,-3.03549845102919325e-01,-2.07152392253176915e-02, 7.86307838862915776e-01,-8.63814518650069495e-03, 3.86694197013461138e-01, 3.11473157797095054e-03,-7.74838877582261318e+01
 1.26550930122770550e-01, 6.50000000008731149e-01,-1.02888352894602658e-01,-4.51571475045650614e-11,-3.87025951536817348e-01,-1.95051068559052476e+00, 1.59380367948096291e+00, 3.36204462977106680e-04, 2.44121593543830326e-04,-3.03575976215189669e-01,-2.07152173687899545e-02, 7.86309591646213502e-01,-8.63708329955866459e-03, 3.86674871278223420e-01, 3.11486144684159109e-03,-7.74837442565434600e+01
 1.26547565779698917e-01, 7.00000000011641532e-01,-1.02888454524390854e-01,-4.51230070384516385e-11,-3.87031579064291698e-01,-1.95050447773733548e+00, 1.59384611634366324e+00, 3.36094497975223663e-04, 2.44090124120507548e-04,-3.03602106120426152e-01,-2.07151955144287171e-02, 7.86311344253980526e-01,-8.63602161302890609e-03, 3.86655549808710641e-01, 3.11499130459583738e-03,-7.74836007690852568e+01
 1.26544202111324638e-01, 7.50000000000000000e-01,-1.02888556130980649e-01,-4.50888971460603854e-11,-3.87037206111124299e-01,-1.95049827057729064e+00, 1.59388854819727288e+00, 3.35984586289885835e-04, 2.44058683430665237e-04,-3.03628234818542675e-01,-2.07151736622336359e-02, 7.86313096686245605e-01,-8.63496012686769225e-03, 3.86636232603851493e-01, 3.11512115123530314e-03,-7.74834572958491918e+01
 1.26540839117497778e-01, 8.00000000002910383e-01,-1.02888657714376039e-01,-4.50548178088749610e-11,-3.87042832677384707e-01,-1.95049206411024656e+00, 1.59393097504275638e+00, 3.35874727898501351e-04, 2.44027271456818300e-04,-3.03654362309475789e-01,-2.07151518122043327e-02, 7.86314848943039157e-01,-8.63389884103047886e-03, 3.86616919662559344e-01, 3.11525098676171007e-03,-7.74833138368328207e+01
 1.26537476798071341e-01, 8.50000000005820766e-01,-1.02888759274580965e-01,-4.50207690084252429e-11,-3.87048458763137537e-01,-1.95048585833607002e+00, 1.59397339688102968e+00, 3.35764922778587110e-04, 2.43995888181529867e-04,-3.03680488593139453e-01,-2.07151299643404674e-02, 7.86316601024389272e-01,-8.63283775547358731e-03, 3.86597610983764217e-01, 3.11538081117663027e-03,-7.74831703920338697e+01
 1.26534115152897420e-01, 9.00000000008731149e-01,-1.02888860811599342e-01,-4.49867507262475777e-11,-3.87054084368448958e-01,-1.95047965325462180e+00, 1.59401581371303669e+00, 3.35655170907648952e-04, 2.43964533587380495e-04,-3.03706613669454728e-01,-2.07151081186416758e-02, 7.86318352930325593e-01,-8.63177687015309614e-03, 3.86578306566390806e-01, 3.11551062448171866e-03,-7.74830269614499656e+01
 1.26530754181828159e-01, 9.50000000011641532e-01,-1.02888962325435138e-01,-4.49527629438947520e-11,-3.87059709493385140e-01,-1.95047344886576379e+00, 1.59405822553971310e+00, 3.35545472263207463e-04, 2.43933207656972208e-04,-3.03732737538342623e-01,-2.07150862751075936e-02, 7.86320104660877317e-01,-8.63071618502507347e-03, 3.86559006409364747e-01, 3.11564042667860806e-03,-7.74828835450787636e+01
 1.26527393884716732e-01, 1.00000000000000000e+00,-1.02889063816092266e-01,-4.49188056429457961e-11,-3.87065334138010364e-01,-1.95046724516936010e+00, 1.59410063236198241e+00, 3.35435826822831368e-04, 2.43901910372939260e-04,-3.03758860199716485e-01,-2.07150644337378807e-02, 7.86321856216073312e-01,-8.62965570004592744e-03, 3.86539710511617063e-01, 3.11577021776889137e-03,-7.74827401429179616e+01
 1.26524034261413454e-01, 1.05000000000291038e+00,-1.02889165283574752e-01,-4.48848788049665634e-11,-3.87070958302393908e-01,-1.95046104216527105e+00, 1.59414303418080072e+00, 3.35326234564009595e-04, 2.43870641717911185e-04,-3.03784981653512254e-01,-2.07150425945321626e-02, 7.86323607595943108e-01,-8.62859541517117627e-03, 3.86520418872062899e-01, 3.11589999775426950e-03,-7.74825967549651438e+01
 1.26520675311771608e-01, 1.10000000000582077e+00,-1.02889266727886494e-01,-4.48509824115689260e-11,-3.87076581986600055e-01,-1.95045483985335855e+00, 1.59418543099709575e+00, 3.35216695464345235e-04, 2.43839401674569509e-04,-3.03811101899642777e-01,-2.07150207574900887e-02, 7.86325358800515573e-01,-8.62753533035720728e-03, 3.86501131489634553e-01, 3.11602976663634531e-03,-7.74824533812179936e+01
 1.26517317035643562e-01, 1.15000000000873115e+00,-1.02889368149031421e-01,-4.48171164443713473e-11,-3.87082205190694639e-01,-1.95044863823348713e+00, 1.59422782281179876e+00, 3.35107209501424037e-04, 2.43808190225608385e-04,-3.03837220938028729e-01,-2.07149989226113052e-02, 7.86327109829820015e-01,-8.62647544556022217e-03, 3.86481848363258829e-01, 3.11615952441674166e-03,-7.74823100216741807e+01
 1.26513959432881684e-01, 1.20000000001164153e+00,-1.02889469547013501e-01,-4.47832808850086147e-11,-3.87087827914743388e-01,-1.95044243730552003e+00, 1.59427020962584498e+00, 3.34997776652849418e-04, 2.43777007353745793e-04,-3.03863338768590285e-01,-2.07149770898954581e-02, 7.86328860683885522e-01,-8.62541576073633763e-03, 3.86462569491863028e-01, 3.11628927109709047e-03,-7.74821666763313601e+01
 1.26510602503339481e-01, 1.25000000000000000e+00,-1.02889570921836621e-01,-4.47494757151418432e-11,-3.87093450158810304e-01,-1.95043623706931912e+00, 1.59431259144015725e+00, 3.34888396896273371e-04, 2.43745853041732295e-04,-3.03889455391240015e-01,-2.07149552593421833e-02, 7.86330611362740295e-01,-8.62435627584206589e-03, 3.86443294874380838e-01, 3.11641900667898554e-03,-7.74820233451872298e+01
 1.26507246246867461e-01, 1.30000000000291038e+00,-1.02889672273504817e-01,-4.47157009164190035e-11,-3.87099071922964388e-01,-1.95043003752474675e+00, 1.59435496825568790e+00, 3.34779070209266841e-04, 2.43714727272312704e-04,-3.03915570805913193e-01,-2.07149334309511303e-02, 7.86332361866414531e-01,-8.62329699083298415e-03, 3.86424024509728903e-01, 3.11654873116411560e-03,-7.74818800282393880e+01
 1.26503890663319213e-01, 1.35000000000582077e+00,-1.02889773602021964e-01,-4.46819564705340329e-11,-3.87104693207269479e-01,-1.95042383867166702e+00, 1.59439734007335909e+00, 3.34669796569514726e-04, 2.43683630028283902e-04,-3.03941685012522056e-01,-2.07149116047219382e-02, 7.86334112194936763e-01,-8.62223790566561503e-03, 3.86404758396841630e-01, 3.11667844455407400e-03,-7.74817367254855327e+01
 1.26500535752547355e-01, 1.40000000000873115e+00,-1.02889874907392029e-01,-4.46482423591874084e-11,-3.87110314011790912e-01,-1.95041764050994137e+00, 1.59443970689410586e+00, 3.34560575954687177e-04, 2.43652561292457030e-04,-3.03967798010986279e-01,-2.07148897806542567e-02, 7.86335862348336412e-01,-8.62117902029614809e-03, 3.86385496534648154e-01, 3.11680814685049270e-03,-7.74815934369233190e+01
 1.26497181514404533e-01, 1.45000000001164153e+00,-1.02889976189618940e-01,-4.46145585640960346e-11,-3.87115934336594303e-01,-1.95041144303943481e+00, 1.59448206871885567e+00, 3.34451408342468712e-04, 2.43621521047664640e-04,-3.03993909801225592e-01,-2.07148679587477284e-02, 7.86337612326641899e-01,-8.62012033468087524e-03, 3.86366238922077609e-01, 3.11693783805498149e-03,-7.74814501625504306e+01
 1.26493827948744503e-01, 1.50000000000000000e+00,-1.02890077448706596e-01,-4.45809050670030207e-11,-3.87121554181743155e-01,-1.95040524626001299e+00, 1.59452442554852558e+00, 3.34342293710593015e-04, 2.43590509276772708e-04,-3.04020020383151679e-01,-2.07148461390020099e-02, 7.86339362129881647e-01,-8.61906184877634859e-03, 3.86346985558065792e-01, 3.11706751816912550e-03,-7.74813069023645795e+01
 1.26490475055418078e-01, 1.55000000000291038e+00,-1.02890178684659009e-01,-4.45472818496384932e-11,-3.87127173547306136e-01,-1.95039905017153470e+00, 1.59456677738407637e+00, 3.34233232036716796e-04, 2.43559525962644142e-04,-3.04046129756699146e-01,-2.07148243214167263e-02, 7.86341111758086186e-01,-8.61800356253822168e-03, 3.86327736441531511e-01, 3.11719718719463256e-03,-7.74811636563633357e+01
 1.26487122834279098e-01, 1.60000000000582077e+00,-1.02890279897480078e-01,-4.45136888937784096e-11,-3.87132792433346640e-01,-1.95039285477386470e+00, 1.59460912422642220e+00, 3.34124223298606048e-04, 2.43528571088190372e-04,-3.04072237921779454e-01,-2.07148025059915308e-02, 7.86342861211283495e-01,-8.61694547592311774e-03, 3.86308491571411228e-01, 3.11732684513307432e-03,-7.74810204245444254e+01
 1.26483771285180402e-01, 1.65000000000873115e+00,-1.02890381087173757e-01,-4.44801261812053123e-11,-3.87138410839930003e-01,-1.95038666006686934e+00, 1.59465146607648856e+00, 3.34015267474012021e-04, 2.43497644636337328e-04,-3.04098344878311722e-01,-2.07147806927260765e-02, 7.86344610489502549e-01,-8.61588758888734083e-03, 3.86289250946635854e-01, 3.11745649198606105e-03,-7.74808772069055323e+01
