"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.36032337259794078e-01, 0.00000000000000000e+00,-1.01815687729003401e-01,-7.84906048627822770e-11,-5.46502578021699992e-01,-1.88624924246305858e+00, 1.91104266851016424e+00, 4.10362545196035506e-04, 1.02701299977251033e-03,-6.00563354414395012e-01,-2.05385148737254122e-02, 8.00419822394582647e-01,-9.83861767133502839e-03, 4.42643294329737480e-01, 7.99639024536503637e-03,-7.63235826026231194e+01
 1.36029235650856783e-01, 5.00000000029103830e-02,-1.01815784176365901e-01,-7.84858713052067108e-11,-5.46507895859684290e-01,-1.88624526013868565e+00, 1.91106906949800948e+00, 4.10376503712645219e-04, 1.02696921543371901e-03,-6.00571377000949869e-01,-2.05384988825881402e-02, 8.00421093691214280e-01,-9.83767852373446799e-03, 4.42624500593032100e-01, 7.99658243009004899e-03,-7.63234776108726720e+01
 1.36026134713726155e-01, 1.00000000005820766e-01,-1.01815880628090147e-01,-7.84812035911881420e-11,-5.46513210247653314e-01,-1.88624128269181979e+00, 1.91109545367613420e+00, 4.10390454834594202e-04, 1.02692546573901738e-03,-6.00579390230419952e-01,-2.05384829013837110e-02, 8.00422364197132308e-01,-9.83673963131262603e-03, 4.42605711237327448e-01, 7.99677449504156146e-03,-7.63233726843374853e+01
 1.36023034448201685e-01, 1.50000000008731149e-01,-1.01815977084197318e-01,-7.84766007106756082e-11,-5.46518521187002504e-01,-1.88623731012461682e+00, 1.91112182103872108e+00, 4.10404398553803848e-04, 1.02688175059871935e-03,-6.00587394116202988e-01,-2.05384669301161074e-02, 8.00423633912021426e-01,-9.83580099404396217e-03, 4.42586926261214042e-01, 7.99696644015507503e-03,-7.63232678230437500e+01
 1.36019934854082758e-01, 2.00000000011641532e-01,-1.01816073544708410e-01,-7.84720616508160727e-11,-5.46523828679141510e-01,-1.88623334243921792e+00, 1.91114817157998718e+00, 4.10418334862197663e-04, 1.02683806992316228e-03,-6.00595388671763430e-01,-2.05384509687892985e-02, 8.00424902835568441e-01,-9.83486261190285281e-03, 4.42568145663281509e-01, 7.99715826536631300e-03,-7.63231630270175145e+01
 1.36016835931169727e-01, 2.50000000000000000e-01,-1.01816170009644408e-01,-7.84675853959557947e-11,-5.46529132725493749e-01,-1.88622937963776094e+00, 1.91117450529417199e+00, 4.10432263751695468e-04, 1.02679442362271431e-03,-6.00603373910631344e-01,-2.05384350174072396e-02, 8.00426170967460715e-01,-9.83392448486365700e-03, 4.42549369442126084e-01, 7.99734997061112875e-03,-7.63230582962847421e+01
 1.36013737679260172e-01, 3.00000000002910383e-01,-1.01816266479026266e-01,-7.84631709276351976e-11,-5.46534433327501290e-01,-1.88622542172236818e+00, 1.91120082217556497e+00, 4.10446185214228740e-04, 1.02675081160772275e-03,-6.00611349846411291e-01,-2.05384190759738544e-02, 8.00427438307388273e-01,-9.83298661289994103e-03, 4.42530597596326680e-01, 7.99754155582571569e-03,-7.63229536308711971e+01
 1.36010640098154334e-01, 3.50000000005820766e-01,-1.01816362952874856e-01,-7.84588172245965470e-11,-5.46539730486616748e-01,-1.88622146869515572e+00, 1.91122712221847202e+00, 4.10460099241720389e-04, 1.02670723378860021e-03,-6.00619316492768007e-01,-2.05384031444930601e-02, 8.00428704855041917e-01,-9.83204899598580200e-03, 4.42511830124478811e-01, 7.99773302094636956e-03,-7.63228490308025727e+01
 1.36007543187651458e-01, 4.00000000008731149e-01,-1.01816459431210926e-01,-7.84545232627789225e-11,-5.46545024204309171e-01,-1.88621752055823166e+00, 1.91125340541722166e+00, 4.10474005826093054e-04, 1.02666369007575363e-03,-6.00627273863436173e-01,-2.05383872229687493e-02, 8.00429970610113672e-01,-9.83111163409499528e-03, 4.42493067025171993e-01, 7.99792436590952144e-03,-7.63227444961044768e+01
 1.36004446947550872e-01, 4.50000000011641532e-01,-1.01816555914055265e-01,-7.84502880153193036e-11,-5.46550314482061816e-01,-1.88621357731368833e+00, 1.91127967176619640e+00, 4.10487904959276964e-04, 1.02662018037962747e-03,-6.00635221972217526e-01,-2.05383713114047975e-02, 8.00431235572297894e-01,-9.83017452720102991e-03, 4.42474308296996133e-01, 7.99811559065194758e-03,-7.63226400268023042e+01
