"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.49564721031078041e-01, 0.00000000000000000e+00,-1.00844950543420436e-01,-1.02693395747197764e-10,-4.76577326053273409e-01,-1.70400980882275599e+00, 2.07164121126281708e+00, 1.67033230219330235e-03, 2.48695614943668581e-04,-1.10247406500387468e+00,-2.04361919198231025e-02, 8.08532580016167124e-01,-1.25873613701966182e-02, 5.27498593950799677e-01, 3.03915504080716622e-03,-7.56517688436268969e+01
 1.49560759106830560e-01, 5.00000000029103830e-02,-1.00845015751879000e-01,-1.02631822694093498e-10,-4.76586971044315189e-01,-1.70400265679753971e+00, 2.07168954632825741e+00, 1.66984516409935161e-03, 2.48694334028026743e-04,-1.10249697159854532e+00,-2.04361594554963340e-02, 8.08535146900552393e-01,-1.25860679557625015e-02, 5.27472942861760719e-01, 3.03930124507318733e-03,-7.56515556951536610e+01
 1.49556798144056119e-01, 1.00000000005820766e-01,-1.00845080951189797e-01,-1.02570322290016883e-10,-4.76596613695794757e-01,-1.70399550817104051e+00, 2.07173786711619412e+00, 1.66935817490012055e-03, 2.48693063187406234e-04,-1.10251986972668337e+00,-2.04361269996555829e-02, 8.08537713109406364e-01,-1.25847748663483906e-02, 5.27447298453801894e-01, 3.03944741410221066e-03,-7.56513426023964257e+01
 1.49552838142485184e-01, 1.50000000008731149e-01,-1.00845146141362876e-01,-1.02508894605142225e-10,-4.76606254007853003e-01,-1.70398836294361189e+00, 2.07178617362736484e+00, 1.66887133455816518e-03, 2.48691802412310094e-04,-1.10254275938837010e+00,-2.04360945523012344e-02, 8.08540278642702059e-01,-1.25834821018822787e-02, 5.27421660724861296e-01, 3.03959354788946399e-03,-7.56511295653576923e+01
 1.49548879101848359e-01, 2.00000000011641532e-01,-1.00845211322408271e-01,-1.02447539709880431e-10,-4.76615891980629147e-01,-1.70398122111560735e+00, 2.07183446586250497e+00, 1.66838464303605515e-03, 2.48690551693254536e-04,-1.10256564058367634e+00,-2.04360621134336735e-02, 8.08542843500412944e-01,-1.25821896622922390e-02, 5.27396029672877242e-01, 3.03973964643016424e-03,-7.56509165840399760e+01
 1.49544921021877414e-01, 2.50000000000000000e-01,-1.00845276494336056e-01,-1.02386257674896803e-10,-4.76625527614258193e-01,-1.70397408268738548e+00, 2.07188274382231929e+00, 1.66789810029649996e-03, 2.48689311020766830e-04,-1.10258851331265872e+00,-2.04360296830532959e-02, 8.08545407682510819e-01,-1.25808975475067471e-02, 5.27370405295796485e-01, 3.03988570971944032e-03,-7.56507036584459200e+01
 1.49540963902300872e-01, 3.00000000002910383e-01,-1.00845341657156362e-01,-1.02325048571039788e-10,-4.76635160908881417e-01,-1.70396694765930423e+00, 2.07193100750754899e+00, 1.66741170630179303e-03, 2.48688080385385741e-04,-1.10261137757538363e+00,-2.04359972611604900e-02, 8.08547971188968484e-01,-1.25796057574533039e-02, 5.27344787591544573e-01, 3.04003173775252824e-03,-7.56504907885780113e+01
 1.49537007742850697e-01, 3.50000000005820766e-01,-1.00845406810879307e-01,-1.02263912469447849e-10,-4.76644791864630768e-01,-1.70395981603172708e+00, 2.07197925691888596e+00, 1.66692546101466252e-03, 2.48686859777663531e-04,-1.10263423337188793e+00,-2.04359648477556617e-02, 8.08550534019757849e-01,-1.25783142920605322e-02, 5.27319176558069813e-01, 3.04017773052451526e-03,-7.56502779744389500e+01
 1.49533052543257938e-01, 4.00000000008731149e-01,-1.00845471955515020e-01,-1.02202849441478303e-10,-4.76654420481638974e-01,-1.70395268780502174e+00, 2.07202749205701942e+00, 1.66643936439769087e-03, 2.48685649188162979e-04,-1.10265708070220692e+00,-2.04359324428392206e-02, 8.08553096174849051e-01,-1.25770231512568678e-02, 5.27293572193314519e-01, 3.04032368803048257e-03,-7.56500652160314502e+01
 1.49529098303253644e-01, 4.50000000011641532e-01,-1.00845537091073648e-01,-1.02141859558724925e-10,-4.76664046760037485e-01,-1.70394556297955946e+00, 2.07207571292262704e+00, 1.66595341641346552e-03, 2.48684448607458248e-04,-1.10267991956636657e+00,-2.04359000464115932e-02, 8.08555657654212889e-01,-1.25757323349707587e-02, 5.27267974495221114e-01, 3.04046961026548232e-03,-7.56498525133582689e+01
