"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.26685541623831915e-01, 0.00000000000000000e+00,-1.02880047380063941e-01,-4.68158947174334306e-11,-3.83651816324299733e-01,-1.95923097007206692e+00, 1.59454785941471600e+00, 6.73803100664746991e-04, 1.63891798248977870e-04,-3.03434929524552199e-01,-2.07148340670762036e-02, 7.86340330219906680e-01,-8.67037136086774678e-03, 3.87448266876420311e-01, 6.54393801517710958e-03,-7.74812276426721382e+01
 1.26682159396353439e-01, 5.00000000029103830e-02,-1.02880149879437680e-01,-4.67801721553063473e-11,-3.83657610262578497e-01,-1.95922443283599845e+00, 1.59459021043129656e+00, 6.73613499178887451e-04, 1.63856754378707272e-04,-3.03461067427195863e-01,-2.07148122496847234e-02, 7.86342079831582885e-01,-8.66930510370844329e-03, 3.87428827018392152e-01, 6.54419986469680689e-03,-7.74810843979433628e+01
 1.26678777848938828e-01, 1.00000000005820766e-01,-1.02880252355530208e-01,-4.67444791981408460e-11,-3.83663403697800276e-01,-1.95921789633090504e+00, 1.59463255637414525e+00, 6.73423976689213589e-04, 1.63821738997870251e-04,-3.03487204108239261e-01,-2.07147904344948536e-02, 7.86343829264923078e-01,-8.66823904863120789e-03, 3.87409391462794850e-01, 6.54446169061422521e-03,-7.74809411676694992e+01
 1.26675396981441923e-01, 1.50000000008731149e-01,-1.02880354808345370e-01,-4.67088158294626880e-11,-3.83669196630039455e-01,-1.95921136055664546e+00, 1.59467489724421352e+00, 6.73234533168889124e-04, 1.63786752092084947e-04,-3.03513339567663465e-01,-2.07147686215062299e-02, 7.86345578519956345e-01,-8.66717319559255107e-03, 3.87389960208559925e-01, 6.54472349293290512e-03,-7.74807979518481602e+01
 1.26672016793716730e-01, 2.00000000011641532e-01,-1.02880457237886913e-01,-4.66731820328259586e-11,-3.83674989059370308e-01,-1.95920482551307362e+00, 1.59471723304246193e+00, 6.73045168591102278e-04, 1.63751793646997823e-04,-3.03539473805449600e-01,-2.07147468107184707e-02, 7.86347327596713108e-01,-8.66610754454893648e-03, 3.87370533254619509e-01, 6.54498527165643489e-03,-7.74806547504769298e+01
 1.26668637285618169e-01, 2.50000000000000000e-01,-1.02880559644158612e-01,-4.66375777918234659e-11,-3.83680780985865333e-01,-1.95919829120005051e+00, 1.59475956376983374e+00, 6.72855882929113591e-04, 1.63716863648291449e-04,-3.03565606821571021e-01,-2.07147250021312325e-02, 7.86349076495222676e-01,-8.66504209545714346e-03, 3.87351110599911397e-01, 6.54524702678830565e-03,-7.74805115635534492e+01
 1.26665258456998331e-01, 3.00000000002910383e-01,-1.02880662027164324e-01,-4.66020030900452583e-11,-3.83686572409602522e-01,-1.95919175761743025e+00, 1.59480188942730128e+00, 6.72666676156035174e-04, 1.63681962081644244e-04,-3.03591738616024232e-01,-2.07147031957441372e-02, 7.86350825215515692e-01,-8.66397684827311179e-03, 3.87331692243357173e-01, 6.54550875833219241e-03,-7.74803683910752596e+01
 1.26661880307712360e-01, 3.50000000005820766e-01,-1.02880764386907797e-01,-4.65664579111408185e-11,-3.83692363330653929e-01,-1.95918522476506962e+00, 1.59484421001581245e+00, 6.72477548245170391e-04, 1.63647088932793232e-04,-3.03617869188782585e-01,-2.07146813915568169e-02, 7.86352573757621132e-01,-8.66291180295367981e-03, 3.87312278183895964e-01, 6.54577046629160452e-03,-7.74802252330399881e+01
 1.26658502837614428e-01, 4.00000000008731149e-01,-1.02880866723392791e-01,-4.65309422387776076e-11,-3.83698153749093829e-01,-1.95917869264282762e+00, 1.59488652553632226e+00, 6.72288499169785528e-04, 1.63612244187491860e-04,-3.03643998539827042e-01,-2.07146595895689144e-02, 7.86354322121569305e-01,-8.66184695945538055e-03, 3.87292868420461567e-01, 6.54603215067010944e-03,-7.74800820894452329e+01
 1.26655126046558764e-01, 4.50000000011641532e-01,-1.02880969036623124e-01,-4.64954560566514110e-11,-3.83703943664996383e-01,-1.95917216125056304e+00, 1.59492883598977864e+00, 6.72099528903162156e-04, 1.63577427831519326e-04,-3.03670126669138840e-01,-2.07146377897800653e-02, 7.86356070307389743e-01,-8.66078231773478348e-03, 3.87273462951988112e-01, 6.54629381147122952e-03,-7.74799389602886208e+01
