"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.69086103783298108e-01, 0.00000000000000000e+00,-1.00505900233576723e-01,-6.06303680762806232e-09,-4.22477094729664826e-01,-1.71661425988577276e+00, 1.84878698747144132e+00, 9.09204203937153017e-04, 4.81942640116602133e-03,-1.06668455291385866e+00,-2.05755525901842595e-02, 7.97472512779687115e-01,-1.88624601128274394e-02, 6.59131028159325449e-01, 5.31564105261619121e-03,-7.65667582203111152e+01
 1.69074264193225382e-01, 5.00000000029103830e-02,-1.00505611423577057e-01,-6.06007660655530438e-09,-4.22542902924535446e-01,-1.71651737546396665e+00, 1.84916764799476119e+00, 9.08737683711865834e-04, 4.81703085513577114e-03,-1.06704820292168745e+00,-2.05753300698109862e-02, 7.97490236697302457e-01,-1.88574458592765185e-02, 6.59048196597506575e-01, 5.31753191208688553e-03,-7.65652972358230528e+01
 1.69062428486855654e-01, 1.00000000005820766e-01,-1.00505322200329011e-01,-6.05711885747416239e-09,-4.22608740442800390e-01,-1.71642044547530603e+00, 1.84954837714880371e+00, 9.08271904379962186e-04, 4.81463630978230805e-03,-1.06741200222029664e+00,-2.05751074622690412e-02, 7.97507967357736769e-01,-1.88524320151363771e-02, 6.58965395624536376e-01, 5.31942373774752213e-03,-7.65638356790185384e+01
 1.69050596662865704e-01, 1.50000000008731149e-01,-1.00505032563505112e-01,-6.05416355841073773e-09,-4.22674607326280205e-01,-1.71632346986844864e+00, 1.84992917502209497e+00, 9.07806864407024084e-04, 4.81224276473905376e-03,-1.06777595096543387e+00,-2.05748847674541713e-02, 7.97525704769035837e-01,-1.88474185791671564e-02, 6.58882625228191521e-01, 5.32131653076727777e-03,-7.65623735492130351e+01
 1.69038768719932453e-01, 2.00000000011641532e-01,-1.00504742512778078e-01,-6.05121070739123106e-09,-4.22740503616794328e-01,-1.71622644859205398e+00, 1.85031004170296942e+00, 9.07342562256308570e-04, 4.80985021963680620e-03,-1.06814004931281836e+00,-2.05746619852621195e-02, 7.97543448939243338e-01,-1.88424055501291224e-02, 6.58799885396251006e-01, 5.32321029231580187e-03,-7.65609108457220628e+01
 1.69026944656736122e-01, 2.50000000000000000e-01,-1.00504452047820603e-01,-6.04826030244280006e-09,-4.22806429356141544e-01,-1.71612938159480821e+00, 1.85069097727948240e+00, 9.06878996388896805e-04, 4.80745867410450282e-03,-1.06850429741803632e+00,-2.05744391155886948e-02, 7.97561199876399951e-01,-1.88373929267840433e-02, 6.58717176116519143e-01, 5.32510502356275776e-03,-7.65594475678615396e+01
 1.69015124471946721e-01, 3.00000000002910383e-01,-1.00504161168305226e-01,-6.04531234159012172e-09,-4.22872384586177263e-01,-1.71603226882531090e+00, 1.85107198183984312e+00, 9.06416165263145565e-04, 4.80506812776641638e-03,-1.06886869543696306e+00,-2.05742161583295155e-02, 7.97578957588558679e-01,-1.88323807078893853e-02, 6.58634497376730299e-01, 5.32700072567998239e-03,-7.65579837149461184e+01
 1.69003308164244498e-01, 3.50000000005820766e-01,-1.00503869873904667e-01,-6.04236682286054482e-09,-4.22938369348697940e-01,-1.71593511023224510e+00, 1.85145305547176275e+00, 9.05954067335505383e-04, 4.80267858024637038e-03,-1.06923324352512861e+00,-2.05739931133803872e-02, 7.97596722083758536e-01,-1.88273688922070033e-02, 6.58551849164692671e-01, 5.32889739983823715e-03,-7.65565192862916888e+01
 1.68991495732306374e-01, 4.00000000008731149e-01,-1.00503578164291660e-01,-6.03942374428065711e-09,-4.23004383685518126e-01,-1.71583790576426631e+00, 1.85183419826286833e+00, 9.05492701059959688e-04, 4.80029003116485241e-03,-1.06959794183814005e+00,-2.05737699806370529e-02, 7.97614493370041089e-01,-1.88223574784974965e-02, 6.58469231468193139e-01, 5.33079504720929218e-03,-7.65550542812137849e+01
 1.68979687174809129e-01, 4.50000000011641532e-01,-1.00503286039138898e-01,-6.03648310387714399e-09,-4.23070427638450930e-01,-1.71574065537002785e+00, 1.85221541030063119e+00, 9.05032064888184077e-04, 4.79790248013985468e-03,-1.06996279053157717e+00,-2.05735467599952593e-02, 7.97632271455450459e-01,-1.88173464655213354e-02, 6.58386644275018806e-01, 5.33269366896553434e-03,-7.65535886990278698e+01
 1.68967882490433069e-01, 5.00000000000000000e-01,-1.00502993498119225e-01,-6.03354489967763959e-09,-4.23136501249289476e-01,-1.71564335899821341e+00, 1.85259669167221586e+00, 9.04572157269653001e-04, 4.79551592678742217e-03,-1.07032778976088583e+00,-2.05733234513508188e-02, 7.97650056348021441e-01,-1.88123358520407118e-02, 6.58304087572983865e-01, 5.33459326627925418e-03,-7.65521225390499040e+01
 1.68956084488742803e-01, 5.50000000002910383e-01,-1.00502698752954464e-01,-6.03061672476397083e-09,-4.23202774272871396e-01,-1.71554577338227565e+00, 1.85297889156709616e+00, 9.04119437384891212e-04, 4.79313545782872417e-03,-1.07069386545985390e+00,-2.05730995571390962e-02, 7.97667887674184506e-01,-1.88073221716714492e-02, 6.58221581006761425e-01, 5.33649807087923072e-03,-7.65506525344589761e+01
