"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.17317481394879256e-01, 0.00000000000000000e+00,-1.03476559832729659e-01,-4.17104349988565485e-11,-2.52657826611644487e-01,-1.99132857396599161e+00, 1.54229215903812622e+00, 4.57850995274858394e-04, 1.24835275237020546e-04,-2.95879609760778373e-01,-2.07414464070860491e-02, 7.84204875043303495e-01,-6.34675272745514885e-03, 3.35144858704224002e-01, 5.64392309261453617e-03,-7.76559541873609476e+01
 1.17314121806919303e-01, 5.00000000029103830e-02,-1.03476682896152472e-01,-4.16774311635251820e-11,-2.52661449351820722e-01,-1.99132298707872768e+00, 1.54233091202497263e+00, 4.57872617274861715e-04, 1.24798957324105615e-04,-2.95904592814441647e-01,-2.07414268942744812e-02, 7.84206441772121510e-01,-6.34571201653060142e-03, 3.35126665616553909e-01, 5.64413397750694688e-03,-7.76558260736309194e+01
 1.17310762825208428e-01, 1.00000000005820766e-01,-1.03476805937086552e-01,-4.16444530190012527e-11,-2.52665071800508012e-01,-1.99131740079391872e+00, 1.54236966072447035e+00, 4.57894237773948185e-04, 1.24762666798578344e-04,-2.95929574708112264e-01,-2.07414073832975568e-02, 7.84208008352227481e-01,-6.34467148477680168e-03, 3.35108476224037333e-01, 5.64434484470016738e-03,-7.76556979719465375e+01
 1.17307404449623898e-01, 1.50000000008731149e-01,-1.03476928955535175e-01,-4.16115005511748688e-11,-2.52668693957747825e-01,-1.99131181511144706e+00, 1.54240840513739252e+00, 4.57915856772311337e-04, 1.24726403647820977e-04,-2.95954555441805878e-01,-2.07413878741549949e-02, 7.84209574783645613e-01,-6.34363113215729354e-03, 3.35090290525794920e-01, 5.64455569419681970e-03,-7.76555698823058549e+01
 1.17304046680043031e-01, 2.00000000011641532e-01,-1.03477051951501670e-01,-4.15785737459724632e-11,-2.52672315823581961e-01,-1.99130623003119633e+00, 1.54244714526450832e+00, 4.57937474270142964e-04, 1.24690167859245547e-04,-2.95979535015538142e-01,-2.07413683668465007e-02, 7.84211141066400108e-01,-6.34259095863563827e-03, 3.35072108520947709e-01, 5.64476652599950942e-03,-7.76554418047069390e+01
 1.17300689516344175e-01, 2.50000000000000000e-01,-1.03477174924989201e-01,-4.15456725893663647e-11,-2.52675937398050721e-01,-1.99130064555304886e+00, 1.54248588110658535e+00, 4.57959090267632857e-04, 1.24653959420305938e-04,-2.96004513429317440e-01,-2.07413488613717722e-02, 7.84212707200514392e-01,-6.34155096417570764e-03, 3.35053930208622341e-01, 5.64497734011083514e-03,-7.76553137391478572e+01
 1.17297332958402792e-01, 3.00000000002910383e-01,-1.03477297876001156e-01,-4.15127970673365276e-11,-2.52679558681197847e-01,-1.99129506167688164e+00, 1.54252461266441920e+00, 4.57980704764986634e-04, 1.24617778318453757e-04,-2.96029490683174079e-01,-2.07413293577305043e-02, 7.84214273186014110e-01,-6.34051114874046445e-03, 3.35035755587929918e-01, 5.64518813653353685e-03,-7.76551856856265914e+01
 1.17293977006097352e-01, 3.50000000005820766e-01,-1.03477420804540782e-01,-4.14799471659279689e-11,-2.52683179673063807e-01,-1.99128947840258186e+00, 1.54256333993876504e+00, 4.58002317762389206e-04, 1.24581624541201922e-04,-2.96054466777116498e-01,-2.07413098559224122e-02, 7.84215839022922689e-01,-6.33947151229388196e-03, 3.35017584657998024e-01, 5.64539891527014899e-03,-7.76550576441412517e+01
 1.17290621659305358e-01, 4.00000000008731149e-01,-1.03477543710611339e-01,-4.14471228712124535e-11,-2.52686800373690124e-01,-1.99128389573003028e+00, 1.54260206293039559e+00, 4.58023929260034050e-04, 1.24545498076083491e-04,-2.96079441711160407e-01,-2.07412903559471944e-02, 7.84217404711263999e-01,-6.33843205479955093e-03, 3.34999417417948864e-01, 5.64560967632329793e-03,-7.76549296146898911e+01
 1.17287266917904393e-01, 4.50000000011641532e-01,-1.03477666594216103e-01,-4.14143241692980647e-11,-2.52690420783118042e-01,-1.99127831365910746e+00, 1.54264078164009266e+00, 4.58045539258117947e-04, 1.24509398910662718e-04,-2.96104415485321515e-01,-2.07412708578045592e-02, 7.84218970251063130e-01,-6.33739277622109333e-03, 3.34981253866905415e-01, 5.64582041969564647e-03,-7.76548015972705343e+01
