"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.71781055149731299e-01, 0.00000000000000000e+00,-1.00605114968175674e-01,-6.88138164474941376e-09,-3.90036153799898033e-01,-1.75937679763282628e+00, 1.74260486598947129e+00, 1.20730494672229623e-02, 4.86841977099284218e-03,-9.73018845673646604e-01,-2.06358791076438827e-02, 7.92660156328418464e-01,-2.00893128339524156e-02, 6.78073499807922975e-01, 7.60883511851229502e-03,-7.69628392843937092e+01
 1.71768125181976261e-01, 5.00000000029103830e-02,-1.00604947439617495e-01,-6.87765844906380684e-09,-3.90091276566649658e-01,-1.75929174816890521e+00, 1.74296103287740478e+00, 1.20711686960814791e-02, 4.86628924711741007e-03,-9.73340355517098188e-01,-2.06356822742248779e-02, 7.92675881502267865e-01,-2.00841975662008551e-02, 6.77982201205255874e-01, 7.61131495470746249e-03,-7.69615469507180734e+01
 1.71755199386807389e-01, 1.00000000005820766e-01,-1.00604779615624695e-01,-6.87393817754360084e-09,-3.90146414426436272e-01,-1.75920667056030533e+00, 1.74331722836951686e+00, 1.20692881939198846e-02, 4.86415960349848367e-03,-9.73661958508254988e-01,-2.06354853896528155e-02, 7.92691610611074515e-01,-2.00790830922737244e-02, 6.77890936033956337e-01, 7.61379565307379168e-03,-7.69602542811908279e+01
 1.71742277763039963e-01, 1.50000000008731149e-01,-1.00604611495965529e-01,-6.87022082861867792e-09,-3.90201567407996774e-01,-1.75912156477058579e+00, 1.74367345255134243e+00, 1.20674079617304024e-02, 4.86203084037406790e-03,-9.73983654764127182e-01,-2.06352884538545632e-02, 7.92707343660546848e-01,-2.00739694112098202e-02, 6.77799704282333493e-01, 7.61627721471373319e-03,-7.69589612753318590e+01
 1.71729360309491375e-01, 2.00000000011641532e-01,-1.00604443080408001e-01,-6.86650640072224137e-09,-3.90256735540075783e-01,-1.75903643076327554e+00, 1.74402970550842595e+00, 1.20655280005045867e-02, 4.85990295798151544e-03,-9.74305444401840193e-01,-2.06350914667569434e-02, 7.92723080656396184e-01,-2.00688565220481438e-02, 6.77708505938712902e-01, 7.61875964073078712e-03,-7.69576679326606410e+01
 1.71716447024984842e-01, 2.50000000000000000e-01,-1.00604274368719854e-01,-6.86279489229189921e-09,-3.90311918851407147e-01,-1.75895126850189709e+00, 1.74438598732620354e+00, 1.20636483112337087e-02, 4.85777595655807748e-03,-9.74627327538540089e-01,-2.06348944282867645e-02, 7.92738821604334176e-01,-2.00637444238292613e-02, 6.77617340991462869e-01, 7.62124293222867823e-03,-7.69563742526966763e+01
 1.71703537908334480e-01, 3.00000000002910383e-01,-1.00604105360668467e-01,-6.85908630176533888e-09,-3.90367117370778727e-01,-1.75886607794986927e+00, 1.74474229809042991e+00, 1.20617688949067204e-02, 4.85564983633849159e-03,-9.74949304291768404e-01,-2.06346973383706132e-02, 7.92754566510091130e-01,-2.00586331155893846e-02, 6.77526209428889525e-01, 7.62372709031433789e-03,-7.69550802349579328e+01
 1.71690632958367700e-01, 3.50000000005820766e-01,-1.00603936056021095e-01,-6.85538062758681065e-09,-3.90422331126935140e-01,-1.75878085907065618e+00, 1.74509863788655006e+00, 1.20598897525134585e-02, 4.85352459755866456e-03,-9.75271374778900579e-01,-2.06345001969351870e-02, 7.92770315379386914e-01,-2.00535225963694025e-02, 6.77435111239394039e-01, 7.62621211609352222e-03,-7.69537858789631315e+01
 1.71677732173910413e-01, 4.00000000008731149e-01,-1.00603766454544635e-01,-6.85167786820280318e-09,-3.90477560148642933e-01,-1.75869561182766398e+00, 1.74545500680012422e+00, 1.20580108850425541e-02, 4.85140024045324636e-03,-9.75593539117519892e-01,-2.06343030039070549e-02, 7.92786068217951834e-01,-2.00484128652087083e-02, 6.77344046411368916e-01, 7.62869801067377496e-03,-7.69524911842301975e+01
 1.71664835553790501e-01, 4.50000000011641532e-01,-1.00603596556005814e-01,-6.84797802206312786e-09,-3.90532804464673811e-01,-1.75861033618427132e+00, 1.74581140491670550e+00, 1.20561322934817968e-02, 4.84927676525616184e-03,-9.75915797425324083e-01,-2.06341057592127480e-02, 7.92801825031519081e-01,-2.00433039211469800e-02, 6.77253014933222541e-01, 7.63118477516357661e-03,-7.69511961502767150e+01
 1.71651943096841786e-01, 5.00000000000000000e-01,-1.00603426360171014e-01,-6.84428108762199591e-09,-3.90588064103788879e-01,-1.75852503210384992e+00, 1.74616783232174932e+00, 1.20542539788188463e-02, 4.84715417220130639e-03,-9.76238149820031986e-01,-2.06339084627787835e-02, 7.92817585825823290e-01,-2.00381957632253839e-02, 6.77162016793406485e-01, 7.63367241067172339e-03,-7.69499007766202396e+01
 1.71639054801888957e-01, 5.50000000002910383e-01,-1.00603255866806338e-01,-6.84058706333370453e-09,-3.90643339094802811e-01,-1.75843969954966872e+00, 1.74652428910103108e+00, 1.20523759420390255e-02, 4.84503246152006434e-03,-9.76560596419757787e-01,-2.06337111145314493e-02, 7.92833350606615750e-01,-2.00330883904808014e-02, 6.77071051980309591e-01, 7.63616091831022421e-03,-7.69486050627767924e+01
 1.71626170667770028e-01, 6.00000000005820766e-01,-1.00603085075677695e-01,-6.83689594765910801e-09,-3.90698629466487590e-01,-1.75835433848503930e+00, 1.74688077534000774e+00, 1.20504981841284796e-02, 4.84291163344496844e-03,-9.76883137342449026e-01,-2.06335137143971517e-02, 7.92849119379639422e-01,-2.00279818019547251e-02, 6.76980120482416625e-01, 7.63865029918986763e-03,-7.69473090082631757e+01
 1.71613290693321402e-01, 6.50000000008731149e-01,-1.00602913986550704e-01,-6.83320773906129568e-09,-3.90753935247636242e-01,-1.75826894887321927e+00, 1.74723729112425197e+00, 1.20486207060721568e-02, 4.84079168820729898e-03,-9.77205772706261189e-01,-2.06333162623021649e-02, 7.92864892150645706e-01,-2.00228759966872595e-02, 6.76889222288202697e-01, 7.64114055442322894e-03,-7.69460126125953963e+01
 1.71600414877381618e-01, 7.00000000011641532e-01,-1.00602742599190678e-01,-6.82952243600668294e-09,-3.90809256467047672e-01,-1.75818353067743516e+00, 1.74759383653933376e+00, 1.20467435088542265e-02, 4.83867262603764926e-03,-9.77528502629464335e-01,-2.06331187581727249e-02, 7.92880668925390886e-01,-2.00177709737186620e-02, 6.76798357386159344e-01, 7.64363168512386879e-03,-7.69447158752890914e+01
 1.71587543218795019e-01, 7.50000000000000000e-01,-1.00602570913362790e-01,-6.82584003696607341e-09,-3.90864593153509410e-01,-1.75809808386090949e+00, 1.74795041167071985e+00, 1.20448665934586637e-02, 4.83655444716655798e-03,-9.77851327230348843e-01,-2.06329212019350540e-02, 7.92896449709630469e-01,-2.00126667320907892e-02, 6.76707525764820850e-01, 7.64612369240562102e-03,-7.69434187958598983e+01
