"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.38814079033554721e-01, 0.00000000000000000e+00,-1.01984853812087564e-01,-5.94193911304576698e-11,-5.69861608995527735e-01,-1.98461575757907593e+00, 1.75638354930369456e+00, 9.51194266499192547e-04, 3.41302005269440841e-04,-3.28484485591726327e-01,-2.06282384863120047e-02, 7.93270460017106438e-01,-1.12602066115696630e-02, 4.59622976213775847e-01, 2.83997510040442458e-03,-7.69126738587264782e+01
 1.38810775344625492e-01, 5.00000000029103830e-02,-1.01984922775789896e-01,-5.93771402872140364e-11,-5.69870708674358073e-01,-1.98460683962343998e+00, 1.75643043542420774e+00, 9.51009669341258473e-04, 3.41276936108819262e-04,-3.28513578534222528e-01,-2.06282123953901685e-02, 7.93272543667922769e-01,-1.12591285465576812e-02, 4.59602664491089163e-01, 2.84010236554547296e-03,-7.69125025556160438e+01
 1.38807472419044758e-01, 1.00000000005820766e-01,-1.01984991715690976e-01,-5.93349269404106690e-11,-5.69879807582095554e-01,-1.98459792274082192e+00, 1.75647731577008037e+00, 9.50825154216286420e-04, 3.41251897202203254e-04,-3.28542670197891240e-01,-2.06281863070579483e-02, 7.93274627109255337e-01,-1.12580507085382163e-02, 4.59582357806542385e-01, 2.84022962007142573e-03,-7.69123312695080017e+01
 1.38804170256639603e-01, 1.50000000008731149e-01,-1.01985060631795257e-01,-5.92927510903511688e-11,-5.69888905718828664e-01,-1.98458900693104257e+00, 1.75652419034235696e+00, 9.50640721097782389e-04, 3.41226888536604457e-04,-3.28571760582596295e-01,-2.06281602213149381e-02, 7.93276710341135560e-01,-1.12569730974601129e-02, 4.59562056158841881e-01, 2.84035686398362557e-03,-7.69121600003997798e+01
 1.38800868857237220e-01, 2.00000000011641532e-01,-1.01985129524107210e-01,-5.92506127374126008e-11,-5.69898003084645999e-01,-1.98458009219392606e+00, 1.75657105914208334e+00, 9.50456369959276886e-04, 3.41201910099070882e-04,-3.28600849688201635e-01,-2.06281341381607600e-02, 7.93278793363596191e-01,-1.12558957132723059e-02, 4.59541759546694739e-01, 2.84048409728341732e-03,-7.69119887482888061e+01
 1.38797568220665829e-01, 2.50000000000000000e-01,-1.01985198392631329e-01,-5.92085118820577857e-11,-5.69907099679633600e-01,-1.98457117852930054e+00, 1.75661792217028423e+00, 9.50272100774370021e-04, 3.41176961876692175e-04,-3.28629937514562487e-01,-2.06281080575950217e-02, 7.93280876176668093e-01,-1.12548185559240687e-02, 4.59521467968814323e-01, 2.84061131997209119e-03,-7.69118175131725792e+01
 1.38794268346750904e-01, 3.00000000002910383e-01,-1.01985267237372126e-01,-5.91664485247862628e-11,-5.69916195503884615e-01,-1.98456226593698171e+00, 1.75666477942803612e+00, 9.50087913516532885e-04, 3.41152043856575058e-04,-3.28659024061559168e-01,-2.06280819796173208e-02, 7.93282958780385017e-01,-1.12537416253637307e-02, 4.59501181423897509e-01, 2.84073853205107441e-03,-7.69116462950484134e+01
 1.38790969235320805e-01, 3.50000000005820766e-01,-1.01985336058334042e-01,-5.91244226662078712e-11,-5.69925290557484976e-01,-1.98455335441679637e+00, 1.75671163091636395e+00, 9.49903808159411559e-04, 3.41127156025881927e-04,-3.28688109329046740e-01,-2.06280559042272757e-02, 7.93285041174777383e-01,-1.12526649215405443e-02, 4.59480899910658658e-01, 2.84086573352165849e-03,-7.69114750939138077e+01
 1.38787670886203029e-01, 4.00000000008731149e-01,-1.01985404855521572e-01,-5.90824343069936222e-11,-5.69934384840522612e-01,-1.98454444396857221e+00, 1.75675847663630491e+00, 9.49719784676620791e-04, 3.41102298371803259e-04,-3.28717193316888423e-01,-2.06280298314244978e-02, 7.93287123359878055e-01,-1.12515884444035971e-02, 4.59460623427807191e-01, 2.84099292438517005e-03,-7.69113039097662181e+01
 1.38784373299225217e-01, 4.50000000011641532e-01,-1.01985473628939172e-01,-5.90404834478880690e-11,-5.69943478353085342e-01,-1.98453553459212939e+00, 1.75680531658890726e+00, 9.49535843041806444e-04, 3.41077470881569211e-04,-3.28746276024947270e-01,-2.06280037612085916e-02, 7.93289205335718228e-01,-1.12505121939018918e-02, 4.59440351974053585e-01, 2.84112010464295742e-03,-7.69111327426030584e+01
