parameter,reported value,mean,variance,median,interquartile range
g_K1,0.294,0.335,2.35e-05,0.335,0.00744
k_1,210.0,404.0,58600.0,380.0,365.0
k_2,8.96,4.52,0.362,4.46,0.882
k_3,0,16.8,1.99,16.9,2.13
original loss
0.246
minimum posterior loss,maximum posterior loss
0.073,0.0771
