"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.56940363028227114e-01, 0.00000000000000000e+00,-1.00166107508189953e-01,-1.13381414267415694e-10,-7.49214034229883419e-01,-1.52770269277793158e+00, 2.22227045454254846e+00, 1.03507831142548592e-03, 6.07873214348949708e-04,-1.21256319181976724e+00,-2.03290848445924974e-02, 8.16976073890956278e-01,-1.36316739180446667e-02, 5.76026558965764712e-01, 2.27591242712261825e-03,-7.49485443560455309e+01
 1.56937117919507180e-01, 5.00000000029103830e-02,-1.00166120720943580e-01,-1.13385650319426888e-10,-7.49229500226745948e-01,-1.52769057215199289e+00, 2.22231882435318884e+00, 1.03471532317895546e-03, 6.07889419203900020e-04,-1.21258513763111120e+00,-2.03290483322199067e-02, 8.16978943497706056e-01,-1.36305357581559504e-02, 5.76004874146053170e-01, 2.27602886105357288e-03,-7.49483046296366950e+01
 1.56933873682459785e-01, 1.00000000005820766e-01,-1.00166134041836358e-01,-1.13390304390915699e-10,-7.49244947959818663e-01,-1.52767847013402891e+00, 2.22236713641781281e+00, 1.03435245257698250e-03, 6.07905616052886928e-04,-1.21260702108400009e+00,-2.03290118619262050e-02, 8.16981809791316071e-01,-1.36293981752899623e-02, 5.75983195438552031e-01, 2.27614516632359447e-03,-7.49480651795019241e+01
 1.56930630316593878e-01, 1.50000000008731149e-01,-1.00166147471131867e-01,-1.13395376326314361e-10,-7.49260377394366128e-01,-1.52766638675806243e+00, 2.22241539064716331e+00, 1.03398969952629293e-03, 6.07921804820187473e-04,-1.21262884208890864e+00,-2.03289754337840287e-02, 8.16984672766098985e-01,-1.36282611699064405e-02, 5.75961522839756102e-01, 2.27626134269188433e-03,-7.49478260061180919e+01
 1.56927387821418240e-01, 2.00000000011641532e-01,-1.00166161009093813e-01,-1.13400865967956987e-10,-7.49275788495616268e-01,-1.52765432205814666e+00, 2.22246358695190027e+00, 1.03362706393364469e-03, 6.07937985430036200e-04,-1.21265060055627916e+00,-2.03289390478660799e-02, 8.16987532416361573e-01,-1.36271247424656263e-02, 5.75939856346160073e-01, 2.27637738991741259e-03,-7.49475871099625124e+01
 1.56924146196442377e-01, 2.50000000000000000e-01,-1.00166174655986179e-01,-1.13406773156077857e-10,-7.49291181228758152e-01,-1.52764227606836989e+00, 2.22251172524259255e+00, 1.03326454570593475e-03, 6.07954157806621246e-04,-1.21267229639651353e+00,-2.03289027042451199e-02, 8.16990388736405282e-01,-1.36259888934285259e-02, 5.75918195954263523e-01, 2.27649330775889225e-03,-7.49473484915129973e+01
 1.56920905441172653e-01, 3.00000000002910383e-01,-1.00166188412073170e-01,-1.13413097728818443e-10,-7.49306555558958087e-01,-1.52763024882284038e+00, 2.22255980542977616e+00, 1.03290214474977926e-03, 6.07970321874105706e-04,-1.21269392951999766e+00,-2.03288664029939690e-02, 8.16993241720529340e-01,-1.36248536232555610e-02, 5.75896541660544714e-01, 2.27660909597492047e-03,-7.49471101512475570e+01
 1.56917665555118102e-01, 3.50000000005820766e-01,-1.00166202277619243e-01,-1.13419839522217097e-10,-7.49321911451333533e-01,-1.52761824035570526e+00, 2.22260782742386542e+00, 1.03253986097214348e-03, 6.07986477556596619e-04,-1.21271549983706528e+00,-2.03288301441855203e-02, 8.16996091363025201e-01,-1.36237189324086901e-02, 5.75874893461500781e-01, 2.27672475432376615e-03,-7.49468720896448417e+01
 1.56914426537786533e-01, 4.00000000008731149e-01,-1.00166216252888990e-01,-1.13426998370215904e-10,-7.49337248870970640e-01,-1.52760625070113676e+00, 2.22265579113522138e+00, 1.03217769427992935e-03, 6.08002624778169695e-04,-1.21273700725802192e+00,-2.03287939278927222e-02, 8.16998937658179991e-01,-1.36225848213498563e-02, 5.75853251353620199e-01, 2.27684028256352859e-03,-7.49466343071837997e+01
 1.56911188388685535e-01, 4.50000000011641532e-01,-1.00166230338147338e-01,-1.13434574104659034e-10,-7.49352567782920365e-01,-1.52759427989334218e+00, 2.22270369647411492e+00, 1.03181564458006288e-03, 6.08018763462853042e-04,-1.21275845169313978e+00,-2.03287577541886033e-02, 8.17001780600276395e-01,-1.36214512905415801e-02, 5.75831615333390667e-01, 2.27695568045205863e-03,-7.49463968043438769e+01
 1.56907951107323446e-01, 5.00000000000000000e-01,-1.00166244533659382e-01,-1.13442566555290345e-10,-7.49367868152193251e-01,-1.52758232796655857e+00, 2.22275154335073521e+00, 1.03145371177961842e-03, 6.08034893534635306e-04,-1.21277983305265025e+00,-2.03287216231462509e-02, 8.17004620183590435e-01,-1.36203183404470848e-02, 5.75809985397304991e-01, 2.27707094774697288e-03,-7.49461595816049453e+01
 1.56904714693205466e-01, 5.50000000002910383e-01,-1.00166258839690478e-01,-1.13450975549762854e-10,-7.49383149943777971e-01,-1.52757039495504277e+00, 2.22279933167523858e+00, 1.03109189578538905e-03, 6.08051014917478029e-04,-1.21280115124676935e+00,-2.03286855348387835e-02, 8.17007456402396803e-01,-1.36191859715290280e-02, 5.75788361541835103e-01, 2.27718608420576698e-03,-7.49459226394470903e+01
 1.56901479145839462e-01, 6.00000000005820766e-01,-1.00166273256506178e-01,-1.13459800913624996e-10,-7.49398413122614238e-01,-1.52755848089309598e+00, 2.22284706135764898e+00, 1.03073019650450981e-03, 6.08067127535283228e-04,-1.21282240618566073e+00,-2.03286494893394273e-02, 8.17010289250961752e-01,-1.36180541842516305e-02, 5.75766743763471034e-01, 2.27730108958559482e-03,-7.49456859783510794e+01
 1.56898244464732051e-01, 6.50000000008731149e-01,-1.00166287784372254e-01,-1.13469042470329571e-10,-7.49413657653610232e-01,-1.52754658581504144e+00, 2.22289473230794288e+00, 1.03036861384405614e-03, 6.08083231311923214e-04,-1.21284359777946027e+00,-2.03286134867214502e-02, 8.17013118723547316e-01,-1.36169229790791026e-02, 5.75745132058694931e-01, 2.27741596364344594e-03,-7.49454495987979641e+01
 1.56895010649389655e-01, 7.00000000011641532e-01,-1.00166302423554773e-01,-1.13478700041231675e-10,-7.49428883501639276e-01,-1.52753470975523498e+00, 2.22294234443601280e+00, 1.03000714771113336e-03, 6.08099326171227580e-04,-1.21286472593826899e+00,-2.03285775270581857e-02, 8.17015944814411976e-01,-1.36157923564761280e-02, 5.75723526423987386e-01, 2.27753070613608000e-03,-7.49452135012692366e+01
 1.56891777699319446e-01, 7.50000000000000000e-01,-1.00166317174319897e-01,-1.13488773445585714e-10,-7.49444090631533943e-01,-1.52752285274806510e+00, 2.22298989765166066e+00, 1.02964579801298689e-03, 6.08115412036979624e-04,-1.21288579057214907e+00,-2.03285416104230510e-02, 8.17018767517806555e-01,-1.36146623169082215e-02, 5.75701926855834434e-01, 2.27764531681999951e-03,-7.49449776862468866e+01
 1.56888545614025460e-01, 8.00000000002910383e-01,-1.00166332036934175e-01,-1.13499262500557332e-10,-7.49459279008105161e-01,-1.52751101482794005e+00, 2.22303739186465465e+00, 1.02928456465658374e-03, 6.08131488832937706e-04,-1.21290679159114601e+00,-2.03285057368894802e-02, 8.17021586827980761e-01,-1.36135328608403324e-02, 5.75680333350701789e-01, 2.27775979545158944e-03,-7.49447421542131025e+01
 1.56885314393014341e-01, 8.50000000005820766e-01,-1.00166347011664242e-01,-1.13510167021205735e-10,-7.49474448596114451e-01,-1.52749919602931095e+00, 2.22308482698463994e+00, 1.02892344754923763e-03, 6.08147556482804027e-04,-1.21292772890525313e+00,-2.03284699065310222e-02, 8.17024402739175648e-01,-1.36124039887388533e-02, 5.75658745905072378e-01, 2.27787414178691038e-03,-7.49445069056507123e+01
 1.56882084035791625e-01, 9.00000000008731149e-01,-1.00166362098777079e-01,-1.13521486820495511e-10,-7.49489599360292913e-01,-1.52748739638665221e+00, 2.22313220292120262e+00, 1.02856244659819528e-03, 6.08163614910246092e-04,-1.21294860242443581e+00,-2.03284341194212535e-02, 8.17027215245629046e-01,-1.36112757010702738e-02, 5.75637164515421573e-01, 2.27798835558183557e-03,-7.49442719410428850e+01
 1.56878854541862511e-01, 9.50000000011641532e-01,-1.00166377298539819e-01,-1.13533221709293623e-10,-7.49504731265334789e-01,-1.52747561593447068e+00, 2.22317951958385462e+00, 1.02820156171073963e-03, 6.08179664038892374e-04,-1.21296941205862585e+00,-2.03283983756338375e-02, 8.17030024341573569e-01,-1.36101479983015139e-02, 5.75615589178223752e-01, 2.27810243659202745e-03,-7.49440372608731877e+01
 1.56875625910732952e-01, 1.00000000000000000e+00,-1.00166392611219804e-01,-1.13545371496365955e-10,-7.49519844275895908e-01,-1.52746385470730428e+00, 2.22322677688201154e+00, 1.02784079279429194e-03, 6.08195703792323967e-04,-1.21299015771771401e+00,-2.03283626752424965e-02, 8.17032830021235945e-01,-1.36090208809003174e-02, 5.75594019889957509e-01, 2.27821638457288223e-03,-7.49438028656256989e+01
 1.56872398141905872e-01, 1.05000000000291038e+00,-1.00166408037084681e-01,-1.13557935988391584e-10,-7.49534938356608893e-01,-1.52745211273971515e+00, 2.22327397472505384e+00, 1.02748013975599226e-03, 6.08211734094095944e-04,-1.21301083931157572e+00,-2.03283270183209942e-02, 8.17035632278840240e-01,-1.36078943493338784e-02, 5.75572456647082231e-01, 2.27833019927967725e-03,-7.49435687557847103e+01
 1.56869171234886778e-01, 1.10000000000582077e+00,-1.00166423576402264e-01,-1.13570914989941594e-10,-7.49550013472057408e-01,-1.52744039006630206e+00, 2.22332111302224300e+00, 1.02711960250333168e-03, 6.08227754867708302e-04,-1.21303145675003443e+00,-2.03282914049431919e-02, 8.17038431108603191e-01,-1.36067684040708653e-02, 5.75550899446074182e-01, 2.27844388046736894e-03,-7.49433349318351389e+01
 1.56865945189179928e-01, 1.15000000000873115e+00,-1.00166439229440601e-01,-1.13584308303493112e-10,-7.49565069586793919e-01,-1.52742868672169085e+00, 2.22336819168278454e+00, 1.02675918094373582e-03, 6.08243766036628834e-04,-1.21305200994288476e+00,-2.03282558351829887e-02, 8.17041226504737872e-01,-1.36056430455799415e-02, 5.75529348283401965e-01, 2.27855742789073723e-03,-7.49431013942622144e+01
 1.56862720004289413e-01, 1.20000000001164153e+00,-1.00166454996468007e-01,-1.13598115729425989e-10,-7.49580106665336365e-01,-1.52741700274053938e+00, 2.22341521061579561e+00, 1.02639887498465936e-03, 6.08259767524280234e-04,-1.21307249879988777e+00,-2.03282203091143601e-02, 8.17044018461451582e-01,-1.36045182743303461e-02, 5.75507803155533071e-01, 2.27867084130432482e-03,-7.49428681435516353e+01
 1.56859495679720046e-01, 1.25000000000000000e+00,-1.00166470877752947e-01,-1.13612337066018429e-10,-7.49595124672161384e-01,-1.52740533815753787e+00, 2.22346216973030941e+00, 1.02603868453370072e-03, 6.08275759254042693e-04,-1.21309292323076456e+00,-2.03281848268113581e-02, 8.17046806972946404e-01,-1.36033940907920314e-02, 5.75486264058939767e-01, 2.27878412046243197e-03,-7.49426351801895549e+01
 1.56856272214973530e-01, 1.30000000000291038e+00,-1.00166486873564206e-01,-1.13626972109463935e-10,-7.49610123571723963e-01,-1.52739369300739813e+00, 2.22350906893531874e+00, 1.02567860949817559e-03, 6.08291741149267996e-04,-1.21311328314521982e+00,-2.03281493883480588e-02, 8.17049592033421201e-01,-1.36022704954344500e-02, 5.75464730990074558e-01, 2.27889726511922670e-03,-7.49424025046623683e+01
 1.56853049609554152e-01, 1.35000000000582077e+00,-1.00166502984170722e-01,-1.13642020653846270e-10,-7.49625103328429798e-01,-1.52738206732486748e+00, 2.22355590813970672e+00, 1.02531864978575742e-03, 6.08307713133258163e-04,-1.21313357845290581e+00,-2.03281139937986285e-02, 8.17052373637068063e-01,-1.36011474887284285e-02, 5.75443203945406379e-01, 2.27901027502857732e-03,-7.49421701174570387e+01
 1.56849827862965113e-01, 1.40000000000873115e+00,-1.00166519209841709e-01,-1.13657482491156175e-10,-7.49640063906654164e-01,-1.52737046114472630e+00, 2.22360268725228183e+00, 1.02495880530404119e-03, 6.08323675129273257e-04,-1.21315380906344794e+00,-2.03280786432373066e-02, 8.17055151778074973e-01,-1.36000250711450013e-02, 5.75421682921398059e-01, 2.27912314994414139e-03,-7.49419380190609417e+01
 1.56846606974709285e-01, 1.45000000001164153e+00,-1.00166535550846564e-01,-1.13673357411287125e-10,-7.49655005270735919e-01,-1.52735887450178032e+00, 2.22364940618178331e+00, 1.02459907596066436e-03, 6.08339627060538427e-04,-1.21317397488643541e+00,-2.03280433367383773e-02, 8.17057926450624250e-01,-1.35989032431555398e-02, 5.75400167914509875e-01, 2.27923588961937438e-03,-7.49417062099618221e+01
 1.56843386944290258e-01, 1.50000000000000000e+00,-1.00166552007454945e-01,-1.13689645202030715e-10,-7.49669927384974621e-01,-1.52734730743087344e+00, 2.22369606483685001e+00, 1.02423946166339689e-03, 6.08355568850228083e-04,-1.21319407583141969e+00,-2.03280080743762116e-02, 8.17060697648892997e-01,-1.35977820052323155e-02, 5.75378658921207653e-01, 2.27934849380745895e-03,-7.49414746906479650e+01
 1.56840167771208600e-01, 1.55000000000291038e+00,-1.00166568579936735e-01,-1.13706345649095610e-10,-7.49684830213646958e-01,-1.52733575996686377e+00, 2.22374266312609592e+00, 1.02387996231973811e-03, 6.08371500421495712e-04,-1.21321411180793448e+00,-2.03279728562251981e-02, 8.17063465367055319e-01,-1.35966613578469720e-02, 5.75357155937936349e-01, 2.27946096226147631e-03,-7.49412434616078116e+01
 1.56836949454967484e-01, 1.60000000000582077e+00,-1.00166585268562008e-01,-1.13723458536079317e-10,-7.49699713720980654e-01,-1.52732423214465340e+00, 2.22378920095801158e+00, 1.02352057783753540e-03, 6.08387421697438742e-04,-1.21323408272546152e+00,-2.03279376823598291e-02, 8.17066229599278993e-01,-1.35955413014725926e-02, 5.75335658961159679e-01, 2.27957329473418152e-03,-7.49410125233304427e+01
 1.56833731995068837e-01, 1.65000000000873115e+00,-1.00166602073601105e-01,-1.13740983644486961e-10,-7.49714577871173238e-01,-1.52731272399917284e+00, 2.22383567824101958e+00, 1.02316130812456110e-03, 6.08403332601115902e-04,-1.21325398849345500e+00,-2.03279025528546632e-02, 8.17068990339726020e-01,-1.35944218365824637e-02, 5.75314167987332481e-01, 2.27968549097813189e-03,-7.49407818763053228e+01
 1.56830515391014391e-01, 1.70000000001164153e+00,-1.00166618995324586e-01,-1.13758920753726664e-10,-7.49729422628385600e-01,-1.52730123556537833e+00, 2.22388209488346833e+00, 1.02280215308862897e-03, 6.08419233055548835e-04,-1.21327382902133474e+00,-2.03278674677843003e-02, 8.17071747582554520e-01,-1.35933029636501907e-02, 5.75292683012908701e-01, 2.27979755074567613e-03,-7.49405515210223001e+01
