"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.34168558431384477e-01, 0.00000000000000000e+00,-1.01204296268127214e-01,-2.10590073778909742e-10,-3.93455925700885611e-01,-1.76998572156820155e+00, 2.22064466338096800e+00, 1.09052543675394482e-03, 3.56815668320681367e-04,-1.19228242446759669e+00,-2.03303112077609614e-02, 8.16879687154514977e-01,-7.76348591258683562e-03, 4.31406200830672770e-01, 9.12133065000026062e-03,-7.49565961921065309e+01
 1.34164947965917658e-01, 5.00000000029103830e-02,-1.01204335712069521e-01,-2.10436721409156915e-10,-3.93466707629458234e-01,-1.76996801889493915e+00, 2.22069895175755105e+00, 1.09058878122015863e-03, 3.56818111747000608e-04,-1.19232109127976327e+00,-2.03302702846049795e-02, 8.16882903644232328e-01,-7.76224103122342881e-03, 4.31384542358677625e-01, 9.12180148852109567e-03,-7.49563275061645982e+01
 1.34161338369696043e-01, 1.00000000005820766e-01,-1.01204374874865111e-01,-2.10286037427249603e-10,-3.93477500254074852e-01,-1.76995027586445497e+00, 2.22075333323613355e+00, 1.09065224340453536e-03, 3.56820614239829019e-04,-1.19235970048898454e+00,-2.03302292893628687e-02, 8.16886125792172124e-01,-7.76099583011116961e-03, 4.31362889527212134e-01, 9.12227324395225962e-03,-7.49560583469324655e+01
 1.34157729643183871e-01, 1.50000000008731149e-01,-1.01204413756920145e-01,-2.10138044069529047e-10,-3.93488303473213119e-01,-1.76993249254655494e+00, 2.22080780763347674e+00, 1.09071582339316606e-03, 3.56823175769821152e-04,-1.19239825069558680e+00,-2.03301882221627456e-02, 8.16889353588224565e-01,-7.75975031036343216e-03, 4.31341242338764197e-01, 9.12274591543372343e-03,-7.49557887152512734e+01
 1.34154121786846742e-01, 2.00000000011641532e-01,-1.01204452358644226e-01,-2.09992763633903105e-10,-3.93499117184906877e-01,-1.76991466901161210e+00, 2.22086237476498383e+00, 1.09077952127144728e-03, 3.56825796307252681e-04,-1.19243674049530624e+00,-2.03301470831337532e-02, 8.16892587022198802e-01,-7.75850447310186611e-03, 4.31319600795829539e-01, 9.12321950209512775e-03,-7.49555186119689267e+01
 1.34150514801152726e-01, 2.50000000000000000e-01,-1.01204490680450260e-01,-2.09850218479885563e-10,-3.93509941286742215e-01,-1.76989680533056815e+00, 2.22091703444470534e+00, 1.09084333712407928e-03, 3.56828475822024312e-04,-1.19247516847927759e+00,-2.03301058724060651e-02, 8.16895826083823606e-01,-7.75725831945648075e-03, 4.31297964900918762e-01, 9.12369400305576388e-03,-7.49552480379400663e+01
 1.34146908686568062e-01, 3.00000000002910383e-01,-1.01204528722754622e-01,-2.09710431028429566e-10,-3.93520775675870793e-01,-1.76987890157491390e+00, 2.22097178648538573e+00, 1.09090727103512372e-03, 3.56831214283660856e-04,-1.19251353323408216e+00,-2.03300645901108336e-02, 8.16899070762749480e-01,-7.75601185056436562e-03, 4.31276334656531257e-01, 9.12416941742500744e-03,-7.49549769940258557e+01
 1.34143303443563566e-01, 3.50000000005820766e-01,-1.01204566485976977e-01,-2.09573423762174658e-10,-3.93531620248990299e-01,-1.76986095781671571e+00, 2.22102663069838613e+00, 1.09097132308790868e-03, 3.56834011661310852e-04,-1.19255183334167558e+00,-2.03300232363802721e-02, 8.16902321048544766e-01,-7.75476506757178958e-03, 4.31254710065193725e-01, 9.12464574430162101e-03,-7.49547054810943507e+01
 1.34139699072610363e-01, 4.00000000008731149e-01,-1.01204603970540444e-01,-2.09439219225278915e-10,-3.93542474902357498e-01,-1.76984297412860347e+00, 2.22108156689373093e+00, 1.09103549336509007e-03, 3.56836867923746135e-04,-1.19259006737943696e+00,-2.03299818113476180e-02, 8.16905576930697763e-01,-7.75351797163275139e-03, 4.31233091129434642e-01, 9.12512298277418608e-03,-7.49544335000202722e+01
 1.34136095574180936e-01, 4.50000000011641532e-01,-1.01204641176871460e-01,-2.09307840023458913e-10,-3.93553339531785173e-01,-1.76982495058377176e+00, 2.22113659488009807e+00, 1.09109978194863637e-03, 3.56839783039361179e-04,-1.19262823392015616e+00,-2.03299403151471145e-02, 8.16908838398616277e-01,-7.75227056390942557e-03, 4.31211477851790148e-01, 9.12560113192099898e-03,-7.49541610516850625e+01
 1.34132491990336306e-01, 5.00000000000000000e-01,-1.01204680555406920e-01,-2.09135453375238562e-10,-3.93564176258575427e-01,-1.76980728188270886e+00, 2.22119076999669618e+00, 1.09116304549335694e-03, 3.56842340334237093e-04,-1.19266835171120689e+00,-2.03298994601805900e-02, 8.16912049459967093e-01,-7.75102804336393666e-03, 4.31189864486548724e-01, 9.12607087944975783e-03,-7.49538928134493005e+01
 1.34128887890387072e-01, 5.50000000002910383e-01,-1.01204723208771344e-01,-2.08902353065829364e-10,-3.93574967986954127e-01,-1.76979014563454840e+00, 2.22124366731153344e+00, 1.09122476958626474e-03, 3.56844352344806422e-04,-1.19271132812447589e+00,-2.03298595670123282e-02, 8.16915184919934423e-01,-7.74979274932098821e-03, 4.31168248450663649e-01, 9.12652803484925376e-03,-7.49536308900166262e+01
 1.34125284619586060e-01, 6.00000000005820766e-01,-1.01204765699735397e-01,-2.08670096750435382e-10,-3.93585767614390403e-01,-1.76977298820494044e+00, 2.22129661190451611e+00, 1.09128655863363752e-03, 3.56846403640907067e-04,-1.19275432714836627e+00,-2.03298196363801455e-02, 8.16918323317194828e-01,-7.74855738972840200e-03, 4.31146637812410694e-01, 9.12698566187921875e-03,-7.49533687206100296e+01
 1.34121682178028362e-01, 6.50000000008731149e-01,-1.01204808029718124e-01,-2.08438689774557649e-10,-3.93596575019946382e-01,-1.76975580982715885e+00, 2.22134960320820873e+00, 1.09134841225345296e-03, 3.56848494022888295e-04,-1.19279734814393423e+00,-2.03297796687069640e-02, 8.16921464618487914e-01,-7.74732196784998391e-03, 4.31125032572078293e-01, 9.12744375582728341e-03,-7.49531063080062410e+01
 1.34118080565809039e-01, 7.00000000011641532e-01,-1.01204850200145385e-01,-2.08208137483011260e-10,-3.93607390082186925e-01,-1.76973861073560212e+00, 2.22140264065257309e+00, 1.09141033006131911e-03, 3.56850623290124293e-04,-1.19284039047051604e+00,-2.03297396644177286e-02, 8.16924608790394302e-01,-7.74608648696497714e-03, 4.31103432729953939e-01, 9.12790231195718255e-03,-7.49528436549953483e+01
 1.34114479783024182e-01, 7.50000000000000000e-01,-1.01204892212450034e-01,-2.07978445219991879e-10,-3.93618212679178181e-01,-1.76972139116581051e+00, 2.22145572366494326e+00, 1.09147231167044446e-03, 3.56852791241009566e-04,-1.19288345348571823e+00,-2.03296996239394553e-02, 8.16927755799332633e-01,-7.74485095036851583e-03, 4.31081838286332064e-01, 9.12836132550850707e-03,-7.49525807643809401e+01
 1.34110879829766827e-01, 8.00000000002910383e-01,-1.01204934068071697e-01,-2.07749618328808564e-10,-3.93629042688498354e-01,-1.76970415135442760e+00, 2.22150885167010825e+00, 1.09153435669172923e-03, 3.56854997672968039e-04,-1.19292653654546421e+00,-2.03296595477011482e-02, 8.16930905611565228e-01,-7.74361536136995016e-03, 4.31060249241487892e-01, 9.12882079169743260e-03,-7.49523176389796788e+01
 1.34107280706133120e-01, 8.50000000005820766e-01,-1.01204975768456870e-01,-2.07521662152284999e-10,-3.93639879987220664e-01,-1.76968689153924652e+00, 2.22156202409020320e+00, 1.09159646473363852e-03, 3.56857242382443735e-04,-1.19296963900392239e+00,-2.03296194361338861e-02, 8.16934058193191981e-01,-7.74237972329525244e-03, 4.31038665595716075e-01, 9.12928070571573762e-03,-7.49520542816218693e+01
 1.34103682412218123e-01, 9.00000000008731149e-01,-1.01205017315058973e-01,-2.07294582032491510e-10,-3.93650724451924616e-01,-1.76966961195917993e+00, 2.22161524034478042e+00, 1.09165863540228668e-03, 3.56859525164905981e-04,-1.19301276021355496e+00,-2.03295792896707704e-02, 8.16937213510153470e-01,-7.74114403948536131e-03, 4.31017087349304273e-01, 9.12974106273143661e-03,-7.49517906951510895e+01
 1.34100084948116982e-01, 9.50000000011641532e-01,-1.01205058709338241e-01,-2.07068383310812487e-10,-3.93661575958693333e-01,-1.76965231285426849e+00, 2.22166849985079162e+00, 1.09172086830141299e-03, 3.56861845814847832e-04,-1.19305589952510505e+00,-2.03295391087469288e-02, 8.16940371528231291e-01,-7.73990831329670042e-03, 4.30995514502541199e-01, 9.13020185788859968e-03,-7.49515268824242895e+01
 1.34096488313925843e-01, 1.00000000000000000e+00,-1.01205099952761807e-01,-2.06843071328011365e-10,-3.93672434383110781e-01,-1.76963499446568817e+00, 2.22172180202257419e+00, 1.09178316303236238e-03, 3.56864204125784666e-04,-1.19309905628758517e+00,-2.03294988937995601e-02, 8.16943532213045609e-01,-7.73867254810146985e-03, 4.30973947055721007e-01, 9.13066308630722245e-03,-7.49512628463118773e+01
 1.34092892509737799e-01, 1.05000000000291038e+00,-1.01205141046803684e-01,-2.06618651423968796e-10,-3.93683299600273651e-01,-1.76961765703572738e+00, 2.22177514627191242e+00, 1.09184551919416176e-03, 3.56866599890258136e-04,-1.19314222984832718e+00,-2.03294586452678512e-02, 8.16946695530059830e-01,-7.73743674728620805e-03, 4.30952385009119754e-01, 9.13112474308376901e-03,-7.49509985896973916e+01
 1.34089297535648994e-01, 1.10000000000582077e+00,-1.01205181992944718e-01,-2.06395128938076075e-10,-3.93694171484773259e-01,-1.76960030080781516e+00, 2.22182853200795183e+00, 1.09190793638341116e-03, 3.56869032899832220e-04,-1.19318541955290680e+00,-2.03294183635930534e-02, 8.16949861444575376e-01,-7.73620091425396977e-03, 4.30930828363031981e-01, 9.13158682329038261e-03,-7.49507341154779567e+01
 1.34085703391754602e-01, 1.15000000000873115e+00,-1.01205222792672647e-01,-2.06172509208972594e-10,-3.93705049910707483e-01,-1.76958292602650680e+00, 2.22188195863725246e+00, 1.09197041419434879e-03, 3.56871502945093971e-04,-1.19322862474519398e+00,-2.03293780492184543e-02, 8.16953029921734131e-01,-7.73496505242285848e-03, 4.30909277117746015e-01, 9.13204932197536103e-03,-7.49504694265640126e+01
 1.34082110078149797e-01, 1.20000000001164153e+00,-1.01205263447482083e-01,-2.05950797574611441e-10,-3.93715934751678209e-01,-1.76956553293748309e+00, 2.22193542556377910e+00, 1.09203295221884148e-03, 3.56874009815654066e-04,-1.19327184476734116e+00,-2.03293377025893784e-02, 8.16956200926518772e-01,-7.73372916522642711e-03, 4.30887731273550789e-01, 9.13251223416307323e-03,-7.49502045258793572e+01
 1.34078517594930779e-01, 1.25000000000000000e+00,-1.01205303958874476e-01,-2.05729999372323767e-10,-3.93726825880787723e-01,-1.76954812178755860e+00, 2.22198893218888971e+00, 1.09209555004636063e-03, 3.56876553300146263e-04,-1.19331507895976907e+00,-2.03292973241531831e-02, 8.16959374423751328e-01,-7.73249325611397292e-03, 4.30866190830740958e-01, 9.13297555485380851e-03,-7.49499394163612322e+01
 1.34074925942190643e-01, 1.30000000000291038e+00,-1.01205344328358177e-01,-2.05510119938561717e-10,-3.93737723170651699e-01,-1.76953069282466169e+00, 2.22204247791139187e+00, 1.09215820726405659e-03, 3.56879133186229511e-04,-1.19335832666121933e+00,-2.03292569143592415e-02, 8.16962550378096175e-01,-7.73125732854916797e-03, 4.30844655789592357e-01, 9.13343927902429166e-03,-7.49496741009600242e+01
 1.34071335120025642e-01, 1.35000000000582077e+00,-1.01205384557448430e-01,-2.05291164609284356e-10,-3.93748626493380105e-01,-1.76951324629786422e+00, 2.22209606212745081e+00, 1.09222092345664630e-03, 3.56881749260582913e-04,-1.19340158720867784e+00,-2.03292164736589981e-02, 8.16965728754055820e-01,-7.73002138601216159e-03, 4.30823126150400471e-01, 9.13390340162687810e-03,-7.49494085826397338e+01
 1.34067745128530980e-01, 1.40000000000873115e+00,-1.01205424647667255e-01,-2.05073138719699902e-10,-3.93759535720589859e-01,-1.76949578245735939e+00, 2.22214968423066539e+00, 1.09228369820649532e-03, 3.56884401308912066e-04,-1.19344485993742389e+00,-2.03291760025059130e-02, 8.16968909515974118e-01,-7.72878543199815530e-03, 4.30801601913453847e-01, 9.13436791759015751e-03,-7.49491428643776061e+01
 1.34064155967801829e-01, 1.45000000001164153e+00,-1.01205464600543624e-01,-2.04856047604330818e-10,-3.93770450723401777e-01,-1.76947830155446906e+00, 2.22220334361203298e+00, 1.09234653109358589e-03, 3.56887089115942829e-04,-1.19348814418102100e+00,-2.03291355013554831e-02, 8.16972092628034940e-01,-7.72754947001782089e-03, 4.30780083079041143e-01, 9.13483282181869888e-03,-7.49488769491643012e+01
 1.34060567637934502e-01, 1.50000000000000000e+00,-1.01205504417613321e-01,-2.04639896597075970e-10,-3.93781371372437405e-01,-1.76946080384164839e+00, 2.22225703965994947e+00, 1.09240942169550677e-03, 3.56889812465424790e-04,-1.19353143927130056e+00,-2.03290949706652589e-02, 8.16975278054261400e-01,-7.72631350359756063e-03, 4.30758569647458012e-01, 9.13529810919299148e-03,-7.49486108400039086e+01
 1.34056980139022119e-01, 1.55000000000291038e+00,-1.01205544100419112e-01,-2.04424691030959694e-10,-3.93792297537831626e-01,-1.76944328957246766e+00, 2.22231077176026526e+00, 1.09247236958752371e-03, 3.56892571140132026e-04,-1.19357474453841594e+00,-2.03290544108948000e-02, 8.16978465758519845e-01,-7.72507753627813681e-03, 4.30737061618980621e-01, 9.13576377456995839e-03,-7.49483445399136627e+01
