"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.77305935116246871e-01, 0.00000000000000000e+00,-1.00935347303460030e-01,-7.33892460033589276e-09,-3.24968677048771859e-01,-1.80407890629156720e+00, 1.43212464217207924e+00, 3.26329085385307534e-04, 8.04020288032292196e-03,-6.87327721969872685e-01,-2.07956613870340472e-02, 7.79846467367472207e-01,-2.29378537989026535e-02, 7.17441282754700871e-01, 2.90667228882774678e-03,-7.80119092109770662e+01
 1.77290793549823716e-01, 5.00000000029103830e-02,-1.00935387582727812e-01,-7.33414330891663962e-09,-3.25009909929029395e-01,-1.80401594632568774e+00, 1.43244682581867999e+00, 3.26458489729332727e-04, 8.03684671136121326e-03,-6.87579728610993923e-01,-2.07955063487232777e-02, 7.79858946201603564e-01,-2.29324289759116548e-02, 7.17332436913662108e-01, 2.90762650407548184e-03,-7.80108912881516119e+01
 1.77275656882935256e-01, 1.00000000005820766e-01,-1.00935427699097455e-01,-7.32936537692577745e-09,-3.25051140582756859e-01,-1.80395297976763613e+00, 1.43276898605817138e+00, 3.26587927183160146e-04, 8.03349127746197031e-03,-6.87831765543772344e-01,-2.07953513019023921e-02, 7.79871425634936166e-01,-2.29270055179497736e-02, 7.17223631433605235e-01, 2.90858084871863272e-03,-7.80098733094519332e+01
 1.77260525113345252e-01, 1.50000000008731149e-01,-1.00935467652542396e-01,-7.32459079861898524e-09,-3.25092369024622629e-01,-1.80389000660737508e+00, 1.43309112292893559e+00, 3.26717397784247947e-04, 8.03013657956363168e-03,-6.88083832796198558e-01,-2.07951962465502474e-02, 7.79883905669149002e-01,-2.29215834241795584e-02, 7.17114866294291220e-01, 2.90953532291309772e-03,-7.80088552747392328e+01
 1.77245398238821406e-01, 2.00000000011641532e-01,-1.00935507443035880e-01,-7.31981956824344351e-09,-3.25133595269276321e-01,-1.80382702683486729e+00, 1.43341323646931751e+00, 3.26846901570140369e-04, 8.02678261860280233e-03,-6.88335930396305251e-01,-2.07950411826457078e-02, 7.79896386305921063e-01,-2.29161626937648029e-02, 7.17006141475512226e-01, 2.91048992681471530e-03,-7.80078371838747557e+01
 1.77230276257139940e-01, 2.50000000000000000e-01,-1.00935547070551204e-01,-7.31505168003921490e-09,-3.25174819331337128e-01,-1.80376404044010297e+00, 1.43373532671751414e+00, 3.26976438578425348e-04, 8.02342939551509149e-03,-6.88588058372093692e-01,-2.07948861101676964e-02, 7.79908867546925233e-01,-2.29107433258721495e-02, 7.16897456957124812e-01, 2.91144466057894095e-03,-7.80068190367201453e+01
 1.77215159166067865e-01, 3.00000000002910383e-01,-1.00935586535061531e-01,-7.31028712823369707e-09,-3.25216041225441843e-01,-1.80370104741301884e+00, 1.43405739371197116e+00, 3.27106008846890582e-04, 8.02007691123135004e-03,-6.88840216751827050e-01,-2.07947310290950184e-02, 7.79921349393846386e-01,-2.29053253196646808e-02, 7.16788812718922252e-01, 2.91239952436200822e-03,-7.80058008331361918e+01
 1.77200046963389451e-01, 3.50000000005820766e-01,-1.00935625836539866e-01,-7.30552590704994749e-09,-3.25257260966172412e-01,-1.80363804774361225e+00, 1.43437943749081009e+00, 3.27235612413295633e-04, 8.01672516668348357e-03,-6.89092405563590416e-01,-2.07945759394066176e-02, 7.79933831848356518e-01,-2.28999086743114887e-02, 7.16680208740825275e-01, 2.91335451831923947e-03,-7.80047825729846380e+01
 1.77184939646888584e-01, 4.00000000008731149e-01,-1.00935664974959205e-01,-7.30076801070113714e-09,-3.25298478568104288e-01,-1.80357504142186231e+00, 1.43470145809220773e+00, 3.27365249315522688e-04, 8.01337416280055795e-03,-6.89344624835583786e-01,-2.07944208410813930e-02, 7.79946314912130734e-01,-2.28944933889812796e-02, 7.16571645002754498e-01, 2.91430964260616697e-03,-7.80037642561269848e+01
 1.77169837214353171e-01, 4.50000000011641532e-01,-1.00935703950292457e-01,-7.29601343339193361e-09,-3.25339694045794492e-01,-1.80351202843775771e+00, 1.43502345555429045e+00, 3.27494919591537472e-04, 8.01002390050972388e-03,-6.89596874596049125e-01,-2.07942657340982606e-02, 7.79958798586843916e-01,-2.28890794628440059e-02, 7.16463121484662624e-01, 2.91526489737822716e-03,-7.80027458824248185e+01
