"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.21913377176135290e-01, 0.00000000000000000e+00,-1.02862329728996171e-01,-6.77883618814128062e-11,-3.19416631483982971e-01,-1.99325174016515061e+00, 1.74508522096932173e+00, 3.49308806799919296e-04, 7.97334031245652136e-04,-4.62177300349387810e-01,-2.06345076203534004e-02, 7.92769722353880879e-01,-6.81251117695364037e-03, 3.60415333166355822e-01, 4.04547485412198263e-03,-7.69538346183153976e+01
 1.21910119778584333e-01, 5.00000000029103830e-02,-1.02862462533854893e-01,-6.77369700587714789e-11,-3.19419477169094412e-01,-1.99324981718018535e+00, 1.74510849177407334e+00, 3.49318681130542097e-04, 7.97297128248776162e-04,-4.62183102217661679e-01,-2.06344947448662275e-02, 7.92770750921995337e-01,-6.81155177311572671e-03, 3.60397154287986909e-01, 4.04556353794966080e-03,-7.69537500827433973e+01
 1.21906862986823114e-01, 1.00000000005820766e-01,-1.02862595318243863e-01,-6.76856163956478058e-11,-3.19422322384617929e-01,-1.99324789515031697e+00, 1.74513175823452960e+00, 3.49328553883164526e-04, 7.97260266784727495e-04,-4.62188902749399055e-01,-2.06344818716314334e-02, 7.92771779309527691e-01,-6.81059254879264313e-03, 3.60378979167009950e-01, 4.04565220690339400e-03,-7.69536655619596814e+01
 1.21903606800721875e-01, 1.50000000008731149e-01,-1.02862728082165081e-01,-6.76343008753541936e-11,-3.19425167130728327e-01,-1.99324597407516046e+00, 1.74515502035221881e+00, 3.49338425058286673e-04, 7.97223446825661764e-04,-4.62194701945298381e-01,-2.06344690006482583e-02, 7.92772807516539224e-01,-6.80963350394320210e-03, 3.60360807802498462e-01, 4.04574086098816524e-03,-7.69535810559592193e+01
 1.21900351220150902e-01, 2.00000000011641532e-01,-1.02862860825620642e-01,-6.75830234812587415e-11,-3.19428011407600521e-01,-1.99324405395432569e+00, 1.74517827812867488e+00, 3.49348294656409220e-04, 7.97186668343773737e-04,-4.62200499806057485e-01,-2.06344561319159285e-02, 7.92773835543091443e-01,-6.80867463852620394e-03, 3.60342640193526131e-01, 4.04582950020896618e-03,-7.69534965647369660e+01
 1.21897096244981434e-01, 2.50000000000000000e-01,-1.02862993548612544e-01,-6.75317841968002853e-11,-3.19430855215408316e-01,-1.99324213478742251e+00, 1.74520153156543012e+00, 3.49358162678032312e-04, 7.97149931311308272e-04,-4.62206296332372202e-01,-2.06344432654336739e-02, 7.92774863389246742e-01,-6.80771595250070482e-03, 3.60324476339172362e-01, 4.04591812457078762e-03,-7.69534120882878767e+01
 1.21893841875081968e-01, 3.00000000002910383e-01,-1.02863126251142883e-01,-6.74805830054286730e-11,-3.19433698554328238e-01,-1.99324021657406236e+00, 1.74522478066402931e+00, 3.49368029123661998e-04, 7.97113235700509033e-04,-4.62212091524943747e-01,-2.06344304012007276e-02, 7.92775891055066517e-01,-6.80675744582499419e-03, 3.60306316238501123e-01, 4.04600673407866807e-03,-7.69533276266068640e+01
 1.21890588110323828e-01, 3.50000000005820766e-01,-1.02863258933213714e-01,-6.74294198906942161e-11,-3.19436541424534370e-01,-1.99323829931385665e+00, 1.74524802542600121e+00, 3.49377893993797609e-04, 7.97076581483691028e-04,-4.62217885384467453e-01,-2.06344175392163195e-02, 7.92776918540613051e-01,-6.80579911845814820e-03, 3.60288159890592319e-01, 4.04609532873758358e-03,-7.69532431796888972e+01
 1.21887334950577478e-01, 4.00000000008731149e-01,-1.02863391594827061e-01,-6.73782948361881586e-11,-3.19439383826201739e-01,-1.99323638300641748e+00, 1.74527126585287085e+00, 3.49387757288937607e-04, 7.97039968633186935e-04,-4.62223677911640596e-01,-2.06344046794796863e-02, 7.92777945845947074e-01,-6.80484097035907471e-03, 3.60270007294521077e-01, 4.04618390855250500e-03,-7.69531587475289598e+01
 1.21884082395713397e-01, 4.50000000011641532e-01,-1.02863524235984993e-01,-6.73272078255574242e-11,-3.19442225759504983e-01,-1.99323446765135470e+00, 1.74529450194617786e+00, 3.49397619009585657e-04, 7.97003397121375944e-04,-4.62229469107160063e-01,-2.06343918219900509e-02, 7.92778972971131424e-01,-6.80388300148658705e-03, 3.60251858449362916e-01, 4.04627247352845089e-03,-7.69530743301219786e+01
 1.21880830445603078e-01, 5.00000000000000000e-01,-1.02863656856689467e-01,-6.72761588425195958e-11,-3.19445067224618184e-01,-1.99323255324827930e+00, 1.74531773370744747e+00, 3.49407479156239301e-04, 7.96966866920678012e-04,-4.62235258971720742e-01,-2.06343789667466498e-02, 7.92779999916226497e-01,-6.80292521179985329e-03, 3.60233713354198848e-01, 4.04636102367038602e-03,-7.69529899274629372e+01
 1.21877579100115208e-01, 5.50000000002910383e-01,-1.02863789456942661e-01,-6.72251478708034362e-11,-3.19447908221717813e-01,-1.99323063979680382e+00, 1.74534096113822379e+00, 3.49417337729405347e-04, 7.96930378003516998e-04,-4.62241047506022407e-01,-2.06343661137487165e-02, 7.92781026681295353e-01,-6.80196760125720626e-03, 3.60215572008094398e-01, 4.04644955898335063e-03,-7.69529055395467481e+01
 1.21874328359121320e-01, 6.00000000005820766e-01,-1.02863922036746519e-01,-6.71741748942380686e-11,-3.19450748750978120e-01,-1.99322872729653922e+00, 1.74536418424003092e+00, 3.49427194729581446e-04, 7.96893930342384418e-04,-4.62246834710759946e-01,-2.06343532629954772e-02, 7.92782053266398945e-01,-6.80101016981780101e-03, 3.60197434410131190e-01, 4.04653807947231211e-03,-7.69528211663683948e+01
 1.21871078222492116e-01, 6.50000000008731149e-01,-1.02864054596103149e-01,-6.71232398966934709e-11,-3.19453588812573852e-01,-1.99322681574709626e+00, 1.74538740301440121e+00, 3.49437050157269148e-04, 7.96857523909798564e-04,-4.62252620586629193e-01,-2.06343404144861652e-02, 7.92783079671599111e-01,-6.80005291744058618e-03, 3.60179300559386018e-01, 4.04662658514226298e-03,-7.69527368079228324e+01
 1.21867828690098282e-01, 7.00000000011641532e-01,-1.02864187135014523e-01,-6.70723428620954172e-11,-3.19456428406679871e-01,-1.99322490514808637e+00, 1.74541061746287030e+00, 3.49446904012970711e-04, 7.96821158678315462e-04,-4.62258405134325923e-01,-2.06343275682200171e-02, 7.92784105896957803e-01,-6.79909584408441847e-03, 3.60161170454936064e-01, 4.04671507599821054e-03,-7.69526524642050020e+01
 1.21864579761811503e-01, 7.50000000000000000e-01,-1.02864319653482680e-01,-6.70214837744402631e-11,-3.19459267533470370e-01,-1.99322299549912296e+00, 1.74543382758695498e+00, 3.49456756297181778e-04, 7.96784834620530057e-04,-4.62264188354544359e-01,-2.06343147241962663e-02, 7.92785131942535970e-01,-6.79813894970860127e-03, 3.60143044095863840e-01, 4.04680355204509786e-03,-7.69525681352099156e+01
 1.21861331437500692e-01, 8.00000000002910383e-01,-1.02864452151509758e-01,-6.69706626177356219e-11,-3.19462106193121709e-01,-1.99322108679981436e+00, 1.74545703338820668e+00, 3.49466607010411382e-04, 7.96748551709051392e-04,-4.62269970247982998e-01,-2.06343018824141355e-02, 7.92786157808396230e-01,-6.79718223427144309e-03, 3.60124921481236648e-01, 4.04689201328799035e-03,-7.69524838209324571e+01
 1.21858083717037630e-01, 8.50000000005820766e-01,-1.02864584629097700e-01,-6.69198793760894153e-11,-3.19464944385808081e-01,-1.99321917904977441e+00, 1.74548023486814485e+00, 3.49476456153156466e-04, 7.96712309916548572e-04,-4.62275750815335729e-01,-2.06342890428728651e-02, 7.92787183494599756e-01,-6.79622569773224300e-03, 3.60106802610137722e-01, 4.04698045973184237e-03,-7.69523995213676244e+01
 1.21854836600293198e-01, 9.00000000008731149e-01,-1.02864717086248586e-01,-6.68691340336504199e-11,-3.19467782111704457e-01,-1.99321727224861278e+00, 1.74550343202830249e+00, 3.49486303725918420e-04, 7.96676109215719327e-04,-4.62281530057297330e-01,-2.06342762055716777e-02, 7.92788209001208055e-01,-6.79526934004995135e-03, 3.60088687481645686e-01, 4.04706889138164820e-03,-7.69523152365103726e+01
 1.21851590087138292e-01, 9.50000000011641532e-01,-1.02864849522964430e-01,-6.68184265746232084e-11,-3.19470619370985531e-01,-1.99321536639594310e+00, 1.74552662487020949e+00, 3.49496149729198633e-04, 7.96639949579297925e-04,-4.62287307974562689e-01,-2.06342633705098172e-02, 7.92789234328283410e-01,-6.79431316118354195e-03, 3.60070576094838946e-01, 4.04715730824240384e-03,-7.69522309663556570e+01
 1.21848344177444848e-01, 1.00000000000000000e+00,-1.02864981939247230e-01,-6.67677569832828577e-11,-3.19473456163825609e-01,-1.99321346149137657e+00, 1.74554981339538662e+00, 3.49505994163494212e-04, 7.96603830980061349e-04,-4.62293084567824863e-01,-2.06342505376865132e-02, 7.92790259475886550e-01,-6.79335716109230950e-03, 3.60052468448802176e-01, 4.04724571031906625e-03,-7.69521467108984751e+01
