"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.72412331340758063e-01, 0.00000000000000000e+00,-1.00568153480211420e-01,-6.76996782825481723e-09,-4.03501487491385369e-01,-1.74559339299723315e+00, 1.74944113594420458e+00, 1.23819681872571058e-02, 3.73241237170293715e-03,-9.80901731432772594e-01,-2.06320948973238091e-02, 7.92962453230086295e-01,-2.02249838988936871e-02, 6.82535764477454454e-01, 3.32472961923266884e-03,-7.69379935927575218e+01
 1.72399441746624582e-01, 5.00000000029103830e-02,-1.00567951522326199e-01,-6.76639107023375240e-09,-4.03563217637277594e-01,-1.74550870192773244e+00, 1.74981267849630306e+00, 1.23801767981189421e-02, 3.73097261143822594e-03,-9.81233263355931862e-01,-2.06318888550520406e-02, 7.92978911047846569e-01,-2.02197986145171045e-02, 6.82444558322339190e-01, 3.32590785018904277e-03,-7.69366407972426032e+01
 1.72386556390534879e-01, 1.00000000005820766e-01,-1.00567749229385509e-01,-6.76281719593703313e-09,-4.03624968413395124e-01,-1.74542397695810658e+00, 1.75018426315365772e+00, 1.23783857485069565e-02, 3.72953351765810620e-03,-9.81564904460673682e-01,-2.06316827506007223e-02, 7.92995373665675962e-01,-2.02146140505213255e-02, 6.82353386074277091e-01, 3.32708657510241831e-03,-7.69352875934803677e+01
 1.72373675271086879e-01, 1.50000000008731149e-01,-1.00567546601116137e-01,-6.75924620341734391e-09,-4.03686739856852439e-01,-1.74533921804522452e+00, 1.75055589001464718e+00, 1.23765950394847772e-02, 3.72809509054330404e-03,-9.81896654877711605e-01,-2.06314765838821225e-02, 7.93011841090414338e-01,-2.02094302057655821e-02, 6.82262247719992998e-01, 3.32826579461666626e-03,-7.69339339808947074e+01
 1.72360798386879427e-01, 2.00000000011641532e-01,-1.00567343637244663e-01,-6.75567809072852149e-09,-4.03748532004777561e-01,-1.74525442514592344e+00, 1.75092755917761989e+00, 1.23748046721146639e-02, 3.72665733027355804e-03,-9.82228514737830682e-01,-2.06312703548084259e-02, 7.93028313328904000e-01,-2.02042470791088807e-02, 6.82171143246220413e-01, 3.32944550937624680e-03,-7.69325799589091446e+01
 1.72347925736515806e-01, 2.50000000000000000e-01,-1.00567140337497557e-01,-6.75211285592658804e-09,-4.03810344894293849e-01,-1.74516959821704343e+00, 1.75129927074077063e+00, 1.23730146474579014e-02, 3.72522023702798622e-03,-9.82560484171790871e-01,-2.06310640632918589e-02, 7.93044790387987586e-01,-2.01990646694116850e-02, 6.82080072639726254e-01, 3.33062572002582741e-03,-7.69312255269472871e+01
 1.72335057318588947e-01, 3.00000000002910383e-01,-1.00566936701600898e-01,-6.74855049706558958e-09,-4.03872178562591500e-01,-1.74508473721532065e+00, 1.75167102480259151e+00, 1.23712249665728791e-02, 3.72378381098347313e-03,-9.82892563310713729e-01,-2.06308577092443809e-02, 7.93061272274525608e-01,-2.01938829755296326e-02, 6.81989035887206274e-01, 3.33180642721170968e-03,-7.69298706844311795e+01
 1.72322193131703827e-01, 3.50000000005820766e-01,-1.00566732729280781e-01,-6.74499101220384287e-09,-4.03934033046820296e-01,-1.74499984209754322e+00, 1.75204282146119295e+00, 1.23694356305179571e-02, 3.72234805231709456e-03,-9.83224752285502657e-01,-2.06306512925781040e-02, 7.93077758995366922e-01,-2.01887019963229407e-02, 6.81898032975443491e-01, 3.33298763157968735e-03,-7.69285154307837757e+01
 1.72309333174462453e-01, 4.00000000008731149e-01,-1.00566528420263049e-01,-6.74143439939976312e-09,-4.03995908384161051e-01,-1.74491491282044464e+00, 1.75241466081477260e+00, 1.23676466403496860e-02, 3.72091296120454591e-03,-9.83557051227228807e-01,-2.06304448132050254e-02, 7.93094250557370484e-01,-2.01835217306499982e-02, 6.81807063891201159e-01, 3.33416933377651695e-03,-7.69271597654272341e+01
 1.72296477445467694e-01, 4.50000000011641532e-01,-1.00566323774273367e-01,-6.73788065671292191e-09,-4.04057804611808069e-01,-1.74482994934073554e+00, 1.75278654296146996e+00, 1.23658579971230309e-02, 3.71947853782045746e-03,-9.83889460267035831e-01,-2.06302382710370873e-02, 7.93110746967397917e-01,-2.01783421773692115e-02, 6.81716128621251638e-01, 3.33535153444947845e-03,-7.69258036877834428e+01
