"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.97830037589372509e-01, 0.00000000000000000e+00,-1.00641426145494053e-01,-1.26109031996348479e-08,-3.64182170013023054e-01,-1.76812354337757904e+00, 1.15422345820859773e+00, 6.13074501127908005e-03, 7.61544048534515405e-03,-5.50133570999428390e-01,-2.09226936711133411e-02, 7.69593739695538903e-01,-2.96416370152327302e-02, 8.69366356344439262e-01, 5.67586892965180490e-03,-7.88459550728925080e+01
 1.97808877866757049e-01, 5.00000000029103830e-02,-1.00641591190943375e-01,-1.26020928170390346e-08,-3.64243502526845675e-01,-1.76806410219556631e+00, 1.15459158775813009e+00, 6.12868048204353449e-03, 7.61311464248048443e-03,-5.50354046041048428e-01,-2.09225334557272720e-02, 7.69606704964015731e-01,-2.96343921169603119e-02, 8.69205559817964102e-01, 5.67825864692616741e-03,-7.88449031593515173e+01
 1.97787727011102477e-01, 1.00000000005820766e-01,-1.00641756096863169e-01,-1.25932891567348080e-08,-3.64304806502738443e-01,-1.76800466821881752e+00, 1.15495961751194098e+00, 6.12661565177060295e-03, 7.61078775641325748e-03,-5.50574516623124621e-01,-2.09223732642620230e-02, 7.69619668212434438e-01,-2.96271500305919921e-02, 8.69044838557338717e-01, 5.68064811931264912e-03,-7.88438514028655533e+01
 1.97766585011461687e-01, 1.50000000008731149e-01,-1.00641920863397918e-01,-1.25844922133206024e-08,-3.64366081985972312e-01,-1.76794524142880616e+00, 1.15532754758777068e+00, 6.12455052284008664e-03, 7.60845983056846961e-03,-5.50794982756534601e-01,-2.09222130966755376e-02, 7.69632629444226279e-01,-2.96199107526026982e-02, 8.68884192471645167e-01, 5.68303734750307075e-03,-7.88427998031585417e+01
 1.97745451856887688e-01, 2.00000000011641532e-01,-1.00642085490692368e-01,-1.25757019813951783e-08,-3.64427329021840885e-01,-1.76788582180700482e+00, 1.15569537810330214e+00, 6.12248509762513844e-03, 7.60613086836534752e-03,-5.51015444452153780e-01,-2.09220529529257800e-02, 7.69645588662822067e-01,-2.96126742794677600e-02, 8.68723621469982277e-01, 5.68542633218993565e-03,-7.88417483599544227e+01
 1.97724327536439537e-01, 2.50000000000000000e-01,-1.00642249978891304e-01,-1.25669184555601896e-08,-3.64488547655642037e-01,-1.76782640933490209e+00, 1.15606310917606403e+00, 6.12041937849292037e-03, 7.60380087321807247e-03,-5.51235901720790067e-01,-2.09218928329707420e-02, 7.69658545871648947e-01,-2.96054406076648943e-02, 8.68563125461509822e-01, 5.68781507406576799e-03,-7.88406970729774343e+01
 1.97703212039157888e-01, 3.00000000002910383e-01,-1.00642414328139834e-01,-1.25581416304099596e-08,-3.64549737932749363e-01,-1.76776700399393372e+00, 1.15643074092385301e+00, 6.11835336780217932e-03, 7.60146984853304203e-03,-5.51456354573441110e-01,-2.09217327367682837e-02, 7.69671501074145281e-01,-2.95982097336657951e-02, 8.68402704355262789e-01, 5.69020357382586574e-03,-7.88396459419509057e+01
 1.97682105354101828e-01, 3.50000000005820766e-01,-1.00642578538583119e-01,-1.25493715005468058e-08,-3.64610899898505425e-01,-1.76770760576558894e+00, 1.15679827346409625e+00, 6.11628706790687694e-03, 7.59913779771298221e-03,-5.51676803020908713e-01,-2.09215726642764110e-02, 7.69684454273737551e-01,-2.95909816539487829e-02, 8.68242358060431152e-01, 5.69259183216416168e-03,-7.88385949665990751e+01
 1.97661007470324307e-01, 4.00000000008731149e-01,-1.00642742610366473e-01,-1.25406080605708219e-08,-3.64672033598292866e-01,-1.76764821463133415e+00, 1.15716570691428000e+00, 6.11422048115379743e-03, 7.59680472415422831e-03,-5.51897247074056074e-01,-2.09214126154530708e-02, 7.69697405473857232e-01,-2.95837563649903462e-02, 8.68082086486173798e-01, 5.69497984977600409e-03,-7.88375441466458682e+01
 1.97639918376878249e-01, 4.50000000011641532e-01,-1.00642906543635433e-01,-1.25318513050824457e-08,-3.64733139077516644e-01,-1.76758883057264016e+00, 1.15753304139182989e+00, 6.11215360988307324e-03, 7.59447063124732945e-03,-5.52117686743743508e-01,-2.09212525902562202e-02, 7.69710354677933917e-01,-2.95765338632673208e-02, 8.67921889541664049e-01, 5.69736762735738572e-03,-7.88364934818152392e+01
 1.97618838062822766e-01, 5.00000000000000000e-01,-1.00643070338535562e-01,-1.25231012286849824e-08,-3.64794216381586212e-01,-1.76752945357099023e+00, 1.15790027701402720e+00, 6.11008645642893613e-03, 7.59213552237788126e-03,-5.52338122040764046e-01,-2.09210925886438547e-02, 7.69723301889394862e-01,-2.95693141452588910e-02, 8.67761767136137507e-01, 5.69975516560437909e-03,-7.88354429718314123e+01
