"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.37936147193956110e-01, 0.00000000000000000e+00,-1.01897156786812521e-01,-6.56677554294441089e-11,-2.69874545103143237e-01,-1.72251344677348683e+00, 1.82418052029655531e+00, 2.31327829190053889e-04, 2.24326731340518967e-04,-9.63351437221786844e-01,-2.05898381019253875e-02, 7.96334243124870778e-01,-1.07333544056601206e-02, 4.54237444069357565e-01, 1.09786667776376572e-02,-7.66605514795552949e+01
 1.37931878784020828e-01, 5.00000000029103830e-02,-1.01897290564284260e-01,-6.56253014510571085e-11,-2.69878612176318589e-01,-1.72250832026441891e+00, 1.82421667596288617e+00, 2.31338952269151052e-04, 2.24313267470062285e-04,-9.63365268919493922e-01,-2.05898172520381506e-02, 7.96335905041959391e-01,-1.07320644518258609e-02, 4.54211319972876504e-01, 1.09790229050860718e-02,-7.66604145870929159e+01
 1.37927611280548479e-01, 1.00000000005820766e-01,-1.01897424320163008e-01,-6.55829024390362070e-11,-2.69882678457193659e-01,-1.72250319538435326e+00, 1.82425282298420166e+00, 2.31350073269778278e-04, 2.24299819789815420e-04,-9.63379096846300187e-01,-2.05897964067275410e-02, 7.96337566592508095e-01,-1.07307747775313884e-02, 4.54185202003805577e-01, 1.09793789575219469e-02,-7.66602777246789202e+01
 1.37923344683318294e-01, 1.50000000008731149e-01,-1.01897558054448847e-01,-6.55405584114257164e-11,-2.69886743946336827e-01,-1.72249807213245321e+00, 1.82428896136446639e+00, 2.31361192192545620e-04, 2.24286388291236566e-04,-9.63392921004493252e-01,-2.05897755659915430e-02, 7.96339227776678760e-01,-1.07294853826998861e-02, 4.54159090160442647e-01, 1.09797349349773886e-02,-7.66601408923000776e+01
 1.37919078992109617e-01, 2.00000000011641532e-01,-1.01897691767141904e-01,-6.54982693863322195e-11,-2.69890808644316693e-01,-1.72249295050788609e+00, 1.82432509110763696e+00, 2.31372309038062373e-04, 2.24272972965800372e-04,-9.63406741396361732e-01,-2.05897547298281407e-02, 7.96340888594632812e-01,-1.07281962672546791e-02, 4.54132984441086296e-01, 1.09800908374844460e-02,-7.66600040899431860e+01
 1.37914814206703068e-01, 2.50000000000000000e-01,-1.01897825458242317e-01,-6.54560353819367326e-11,-2.69894872551701637e-01,-1.72248783050981724e+00, 1.82436121221766334e+00, 2.31383423806934984e-04, 2.24259573805003548e-04,-9.63420558024191909e-01,-2.05897338982353288e-02, 7.96342549046531123e-01,-1.07269074311194049e-02, 4.54106884844043379e-01, 1.09804466650750953e-02,-7.66598673175950722e+01
 1.37910550326875714e-01, 3.00000000002910383e-01,-1.01897959127750251e-01,-6.54138564164456560e-11,-2.69898935669063589e-01,-1.72248271213740667e+00, 1.82439732469853411e+00, 2.31394536499781775e-04, 2.24246190800350638e-04,-9.63434370890282499e-01,-2.05897130712110847e-02, 7.96344209132536673e-01,-1.07256188742166254e-02, 4.54080791367598824e-01, 1.09808024177816994e-02,-7.66597305752424063e+01
 1.37906287352408397e-01, 3.50000000005820766e-01,-1.01898092775665777e-01,-6.53717325081644580e-11,-2.69902997996971594e-01,-1.72247759538982059e+00, 1.82443342855419921e+00, 2.31405647117209981e-04, 2.24232823943373833e-04,-9.63448179996921783e-01,-2.05896922487533891e-02, 7.96345868852810779e-01,-1.07243305964700459e-02, 4.54054704010061150e-01, 1.09811580956362415e-02,-7.66595938628720148e+01
 1.37902025283080820e-01, 4.00000000008731149e-01,-1.01898226401989020e-01,-6.53296636754484961e-11,-2.69907059535996308e-01,-1.72247248026622302e+00, 1.82446952378862393e+00, 2.31416755659831443e-04, 2.24219473225620639e-04,-9.63461985346403482e-01,-2.05896714308602367e-02, 7.96347528207515309e-01,-1.07230425978030175e-02, 4.54028622769731938e-01, 1.09815136986708781e-02,-7.66594571804706533e+01
 1.37897764118672800e-01, 4.50000000011641532e-01,-1.01898360006720104e-01,-6.52876499367153343e-11,-2.69911120286708606e-01,-1.72246736676577372e+00, 1.82450561040577908e+00, 2.31427862128259169e-04, 2.24206138638656857e-04,-9.63475786941021761e-01,-2.05896506175296014e-02, 7.96349187196812247e-01,-1.07217548781389210e-02, 4.54002547644913601e-01, 1.09818692269178057e-02,-7.66593205280250629e+01
