"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 3.58347654498268331e-01, 0.00000000000000000e+00,-7.45416492447089629e-02,-9.91057642980908704e-02,-1.89521797576752093e+00, 9.98745903063412710e-01, 6.85942321419004353e-01, 6.89878901164734271e-01, 9.84058053131362631e-01,-1.30658014765407948e+00,-1.43477147057794879e-02, 1.16783182380110273e+00, 1.56200043549920599e-02, 2.17953905313467011e+00, 2.63902642458742509e-01,-3.56771335566649626e+01
 3.58644762222777025e-01, 5.00000000029103830e-02,-7.46284752919911809e-02,-9.34606859484894692e-02,-1.88049727862569038e+00, 9.87950640694732929e-01, 6.94169210284650617e-01, 6.88384782398198336e-01, 9.74447695019563853e-01,-1.31801568496464072e+00,-1.43750722953872260e-02, 1.16680996397343151e+00, 1.52095304094390840e-02, 2.18192638903243274e+00, 2.61075788437207412e-01,-3.58567531279392426e+01
 3.58937789879189340e-01, 1.00000000005820766e-01,-7.47152088920439300e-02,-8.80794841539836032e-02,-1.86583679720112317e+00, 9.77176117555196289e-01, 7.02465503217386655e-01, 6.86872609631239639e-01, 9.64943131378915964e-01,-1.32938804296755619e+00,-1.44023789148947836e-02, 1.16578522390533701e+00, 1.48000248691399026e-02, 2.18428024547013289e+00, 2.58268449897074592e-01,-3.60360380488414052e+01
 3.59226768876603542e-01, 1.50000000008731149e-01,-7.48018447608273379e-02,-8.29487002927686567e-02,-1.85124131458385710e+00, 9.66422853433103191e-01, 7.10830867504169017e-01, 6.85342692269715337e-01, 9.55543561042444756e-01,-1.34069213147925881e+00,-1.44296332255555559e-02, 1.16475766537276937e+00, 1.43915061570169013e-02, 2.18660090146876307e+00, 2.55480837337048072e-01,-3.62149795296683266e+01
 3.59511727996391861e-01, 2.00000000011641532e-01,-7.48883800769294949e-02,-7.80611808052725231e-02,-1.83671404797502502e+00, 9.55691087147732432e-01, 7.19265166130763078e-01, 6.83795303779191288e-01, 9.46248216603771342e-01,-1.35192374835651741e+00,-1.44568346028300064e-02, 1.16372732416134994e+00, 1.39839833060372669e-02, 2.18888861443879401e+00, 2.52713088582862788e-01,-3.63935734699299616e+01
 3.59792696237972109e-01, 2.50000000000000000e-01,-7.49748122099467423e-02,-7.34096228811250001e-02,-1.82225817475586838e+00, 9.44981035375594969e-01, 7.27768261600452715e-01, 6.82230714566094743e-01, 9.37056297723390608e-01,-1.36307868284776723e+00,-1.44839824785751754e-02, 1.16269423453090082e+00, 1.35774645482019812e-02, 2.19114364304835130e+00, 2.49965339619265398e-01,-3.65718161394148282e+01
 3.60069702819133475e-01, 3.00000000002910383e-01,-7.50611387205123992e-02,-6.89865740572329772e-02,-1.80787683397352272e+00, 9.34292892640356643e-01, 7.36340016576055079e-01, 6.80649191732236480e-01, 9.27966971922526862e-01,-1.37415271637723957e+00,-1.45110763410762709e-02, 1.16165842916549500e+00, 1.31719573117753657e-02, 2.19336624722444196e+00, 2.47237724440089485e-01,-3.67497041783974083e+01
 3.60342777175546136e-01, 3.50000000005820766e-01,-7.51473573600746347e-02,-6.47844318633488542e-02,-1.79357312792594525e+00, 9.23626831333875797e-01, 7.44980294512288532e-01, 6.79050998840307840e-01, 9.18979375393673137e-01,-1.38514162328759904e+00,-1.45381157349992532e-02, 1.16061993912623307e+00, 1.27674682196971864e-02, 2.19555668814794647e+00, 2.44530374910913922e-01,-3.69272345973268941e+01
 3.60611937429938800e-01, 4.00000000008731149e-01,-7.52334670965498081e-02,-6.07965289617502652e-02,-1.77934718057545460e+00, 9.12982906730153809e-01, 7.53689038650874665e-01, 6.77436388428216296e-01, 9.10092930578356718e-01,-1.39604222784595700e+00,-1.45651005029192471e-02, 1.15957878446173002e+00, 1.23640013070466272e-02, 2.19771513579769406e+00, 2.41843316016780330e-01,-3.71044063626111438e+01
 3.60877216193711159e-01, 4.50000000011641532e-01,-7.53194658188762328e-02,-5.70147113099173930e-02,-1.76520270665905454e+00, 9.02361269512108599e-01, 7.62466099574199307e-01, 6.75805617555350291e-01, 9.01306634730517087e-01,-1.40685005078362368e+00,-1.45920302449406552e-02, 1.15853499493787959e+00, 1.19615620135812353e-02, 2.19984187589899172e+00, 2.39176700954266491e-01,-3.72812168486871585e+01
 3.61138642947247734e-01, 5.00000000000000000e-01,-7.54053519046349874e-02,-5.34309882453259596e-02,-1.75114253581481871e+00, 8.91762020641866826e-01, 7.71311353169458536e-01, 6.74158937029138983e-01, 8.92619548557239351e-01,-1.41756091347905189e+00,-1.46189046877152583e-02, 1.15748859585110075e+00, 1.15601544479455674e-02, 2.20193716856698796e+00, 2.36530649848993246e-01,-3.74576642608540453e+01
