"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.19001375681610941e-01, 0.00000000000000000e+00,-1.03332030342838971e-01,-4.74413823447862270e-11,-2.74534887510214376e-01,-2.00695043760027803e+00, 1.57184881399728171e+00, 1.29437579311499052e-03, 1.15313693545747564e-04,-2.98389648856656253e-01,-2.07264688469607772e-02, 7.85407043875829936e-01,-6.69297811221423577e-03, 3.44315317654704744e-01, 4.98561006006274007e-03,-7.75576172005499558e+01
 1.18997999117831071e-01, 5.00000000029103830e-02,-1.03332149175268728e-01,-4.74048515611053941e-11,-2.74538908367590373e-01,-2.00694429080724834e+00, 1.57188852610325647e+00, 1.29405175868005005e-03, 1.15268954310769535e-04,-2.98415139118697492e-01,-2.07264485933685988e-02, 7.85408668960430378e-01,-6.69192792495471034e-03, 3.44296826022571612e-01, 4.98579955972608142e-03,-7.75574842231350630e+01
 1.18994623174836167e-01, 1.00000000005820766e-01,-1.03332267985110998e-01,-4.73683482137196338e-11,-2.74542928897192007e-01,-2.00693814466766085e+00, 1.57192823373275736e+00, 1.29372780115563049e-03, 1.15224247614619476e-04,-2.98440628207452707e-01,-2.07264283417069213e-02, 7.85410293888608280e-01,-6.69087792143824734e-03, 3.44278338202218759e-01, 4.98598904331503615e-03,-7.75573512583951299e+01
 1.18991247852482371e-01, 1.50000000008731149e-01,-1.03332386772369889e-01,-4.73318722734395194e-11,-2.74546949099077453e-01,-2.00693199918136411e+00, 1.57196793688669034e+00, 1.29340392052334813e-03, 1.15179573428370383e-04,-2.98466116122926728e-01,-2.07264080919753978e-02, 7.85411918660392061e-01,-6.68982810162225064e-03, 3.44259854192639936e-01, 4.98617851083241453e-03,-7.75572183063277976e+01
 1.18987873150625811e-01, 2.00000000011641532e-01,-1.03332505537049535e-01,-4.72954237110794176e-11,-2.74550968973305165e-01,-2.00692585434820225e+00, 1.57200763556597312e+00, 1.29308011676482920e-03, 1.15134931723095228e-04,-2.98491602865124439e-01,-2.07263878441736500e-02, 7.85413543275812254e-01,-6.68877846546406859e-03, 3.44241373992828337e-01, 4.98636796228108057e-03,-7.75570853669306643e+01
 1.18984499069123617e-01, 2.50000000000000000e-01,-1.03332624279154017e-01,-4.72590024974680610e-11,-2.74554988519932097e-01,-2.00691971016802073e+00, 1.57204732977150607e+00, 1.29275638986178104e-03, 1.15090322469878095e-04,-2.98517088434042954e-01,-2.07263675983013207e-02, 7.85415167734897501e-01,-6.68772901292134792e-03, 3.44222897601783095e-01, 4.98655739766382111e-03,-7.75569524402013855e+01
 1.18981125607829946e-01, 3.00000000002910383e-01,-1.03332742998687527e-01,-4.72226086034061872e-11,-2.74559007739018979e-01,-2.00691356664066456e+00, 1.57208701950421936e+00, 1.29243273979561934e-03, 1.15045745639762398e-04,-2.98542572829702202e-01,-2.07263473543580420e-02, 7.85416792037678446e-01,-6.68667974395085497e-03, 3.44204425018487248e-01, 4.98674681698356870e-03,-7.75568195261375166e+01
 1.18977752766601969e-01, 3.50000000005820766e-01,-1.03332861695654171e-01,-4.71862419997300833e-11,-2.74563026630622820e-01,-2.00690742376597786e+00, 1.57212670476502270e+00, 1.29210916654804949e-03, 1.15001201203830390e-04,-2.98568056052099240e-01,-2.07263271123434532e-02, 7.85418416184183843e-01,-6.68563065851024776e-03, 3.44185956241940150e-01, 4.98693622024314227e-03,-7.75566866247366846e+01
 1.18974380545295813e-01, 4.00000000008731149e-01,-1.03332980370058072e-01,-4.71499026572692313e-11,-2.74567045194801795e-01,-2.00690128154380609e+00, 1.57216638555482513e+00, 1.29178567010066543e-03, 1.14956689133149120e-04,-2.98593538101238842e-01,-2.07263068722571865e-02, 7.85420040174443668e-01,-6.68458175655686944e-03, 3.44167491271135717e-01, 4.98712560744537722e-03,-7.75565537359965163e+01
 1.18971008943767650e-01, 4.50000000011641532e-01,-1.03333099021903338e-01,-4.71135905468569004e-11,-2.74571063431614248e-01,-2.00689513997399560e+00, 1.57220606187453926e+00, 1.29146225043506044e-03, 1.14912209398784621e-04,-2.98619018977125894e-01,-2.07262866340988915e-02, 7.85421664008487674e-01,-6.68353303804811172e-03, 3.44149030105068254e-01, 4.98731497859311677e-03,-7.75564208599146241e+01
