"calcium_concentration.Cai","environment.time","icab.i_Cab","ical.i_CaL","icat.i_CaT","iha.i_ha","ik1.i_K1","ikr.i_Kr","ikur.i_Kur","ina.i_Na","inab.i_Nab","inak.i_NaK","incx.i_NaCa","ipca.i_pCa","ito.i_to","membrane.V"
 1.36953712917156689e-01, 0.00000000000000000e+00,-1.01723006339588390e-01,-9.01543119948463947e-11,-5.51906959977432554e-01,-1.90109053670629802e+00, 1.93444601471712740e+00, 1.18043710571282576e-03, 4.96994789528597616e-04,-6.09417360958642185e-01,-2.05242404240801868e-02, 8.01554222115287152e-01,-9.97228916221862619e-03, 4.48239943477041158e-01, 6.35639358784799522e-03,-7.62298619729106974e+01
 1.36950504567021569e-01, 5.00000000029103830e-02,-1.01723099417523263e-01,-9.00946935544691140e-11,-5.51913170551646237e-01,-1.90108507459264020e+00, 1.93447566815466998e+00, 1.18003939851822051e-03, 4.96963427686048583e-04,-6.09428344671050781e-01,-2.05242222101753510e-02, 8.01555669047425146e-01,-9.97130561029367472e-03, 4.48220407904039386e-01, 6.35656862823409750e-03,-7.62297423873102957e+01
 1.36947296926640094e-01, 1.00000000005820766e-01,-1.01723192505506085e-01,-9.00354553439303509e-11,-5.51919376604526724e-01,-1.90107961891083765e+00, 1.93450530146182564e+00, 1.17964180921040977e-03, 4.96932094327286384e-04,-6.09439313360875312e-01,-2.05242040083090799e-02, 8.01557115021831246e-01,-9.97032234010545616e-03, 4.48200876982507213e-01, 6.35674353611244154e-03,-7.62296228807506111e+01
 1.36944089995839346e-01, 1.50000000008731149e-01,-1.01723285603859528e-01,-8.99766032413413363e-11,-5.51925578093407143e-01,-1.90107416971359755e+00, 1.93453491448686199e+00, 1.17924433762986013e-03, 4.96900789324335808e-04,-6.09450266816696229e-01,-2.05241858185752427e-02, 8.01558560031052525e-01,-9.96933935232239242e-03, 4.48181350711180426e-01, 6.35691831018212611e-03,-7.62295034538478262e+01
 1.36940883774445965e-01, 2.00000000011641532e-01,-1.01723378712906404e-01,-8.99181431617517491e-11,-5.51931774975540912e-01,-1.90106872705363728e+00, 1.93456450707802352e+00, 1.17884698361720212e-03, 4.96869512548981274e-04,-6.09461204826059366e-01,-2.05241676410676949e-02, 8.01560004067634613e-01,-9.96835664761292622e-03, 4.48161829088792374e-01, 6.35709294913965918e-03,-7.62293841072182659e+01
 1.36937678262286977e-01, 2.50000000000000000e-01,-1.01723471832969620e-01,-8.98600810571664541e-11,-5.51937967208100400e-01,-1.90106329098369375e+00, 1.93459407908350456e+00, 1.17844974701333339e-03, 4.96838263872770086e-04,-6.09472127175472056e-01,-2.05241494758803475e-02, 8.01561447124120030e-01,-9.96737422664581776e-03, 4.48142312114079122e-01, 6.35726745167885122e-03,-7.62292648414784964e+01
 1.36934473459186162e-01, 3.00000000002910383e-01,-1.01723564964372237e-01,-8.98024229164777761e-11,-5.51944154748183369e-01,-1.90105786155651235e+00, 1.93462363035150475e+00, 1.17805262765897315e-03, 4.96807043166985003e-04,-6.09483033650416561e-01,-2.05241313231071185e-02, 8.01562889193051298e-01,-9.96639209008901884e-03, 4.48122799785756587e-01, 6.35744181649111270e-03,-7.62291456572450983e+01
 1.36931269364969604e-01, 3.50000000005820766e-01,-1.01723658107437373e-01,-8.97451747655668558e-11,-5.51950337552803205e-01,-1.90105243882485930e+00, 1.93465316073016158e+00, 1.17765562539534196e-03, 4.96775850302690644e-04,-6.09493924035329981e-01,-2.05241131828419569e-02, 8.01564330266967273e-01,-9.96541023861139720e-03, 4.48103292102555339e-01, 6.35761604226505600e-03,-7.62290265551349506e+01
 1.36928065979461860e-01, 4.00000000008731149e-01,-1.01723751262488282e-01,-8.96883426672357433e-11,-5.51956515578895246e-01,-1.90104702284151172e+00, 1.93468267006760075e+00, 1.17725874006371261e-03, 4.96744685150704319e-04,-6.09504798113618129e-01,-2.05240950551788363e-02, 8.01565770338405814e-01,-9.96442867288145281e-03, 4.48083789063196347e-01, 6.35779012768679375e-03,-7.62289075357650177e+01
 1.36924863302487099e-01, 4.50000000011641532e-01,-1.01723844429848304e-01,-8.96319327212243164e-11,-5.51962688783315447e-01,-1.90104161365926072e+00, 1.93471215821190889e+00, 1.17686197150550990e-03, 4.96713547581597876e-04,-6.09515655667651424e-01,-2.05240769402117544e-02, 8.01567209399902336e-01,-9.96344739356783658e-03, 4.48064290666398579e-01, 6.35796407143979399e-03,-7.62287885997524626e+01
