parameter,reported value,mean,variance,median,interquartile range
g_Kr,0.73,0.174,0.00102,0.167,0.0428
k_xss1,15.0,18.3,10.4,19.0,5.74
k_xss2,6.0,6.66,1.95,6.62,2.36
k_xtau1,2.5,2.87,2.32,3.29,2.74
k_r1,55.0,7.98,34.2,7.2,8.55
k_r2,24.0,17.9,2.74,17.9,2.33
original loss
0.202
minimum posterior loss,maximum posterior loss
0.0906,0.145
