-782.9545454545456, -172.07792207792204
-775.0000000000002, -81.16883116883128
-769.318181818182, 19.480519480519547
-762.5000000000002, 116.88311688311683
-752.2727272727275, 217.53246753246754
-739.7727272727275, 321.42857142857144
-721.5909090909092, 392.8571428571428
-694.318181818182, 461.03896103896096
-661.3636363636365, 509.74025974025966
-628.4090909090911, 542.2077922077922
-598.8636363636365, 564.9350649350649
-571.5909090909092, 581.168831168831
-535.2272727272729, 597.4025974025974
-497.72727272727286, 610.3896103896103
