parameter,reported value,mean,variance,median,interquartile range
g_to,0.124,0.0515,7.42e-06,0.0513,0.00453
k_xss1,1.0,5.07,6.98,5.16,4.85
k_xss2,11.0,20.4,11.5,20.5,5.26
k_yss1,40.5,24.6,1.28,24.5,1.55
k_yss2,11.5,4.32,0.835,4.21,1.32
original loss
0.771
minimum posterior loss,maximum posterior loss
0.0673,0.118
